Quarter,Time,Tm,Detail,DEN,NWE
1.0,13:02,Broncos,Brandon McManus 45 yard field goal,3,0
,8:05,Broncos,Brandon McManus 44 yard field goal,6,0
2.0,12:13,Broncos,Brandon McManus 27 yard field goal,9,0
,5:20,Patriots,Nick Folk 41 yard field goal,9,3
,0:19,Broncos,Brandon McManus 52 yard field goal,12,3
3.0,3:32,Broncos,Brandon McManus 20 yard field goal,15,3
,0:37,Broncos,Brandon McManus 54 yard field goal,18,3
4.0,8:31,Patriots,Cam Newton 1 yard rush (run failed),18,9
,3:23,Patriots,Nick Folk 38 yard field goal,18,12
