Unnamed: 0,DEN,NWE
First Downs,15,14
Rush-Yds-TDs,37-135-0,25-117-1
Cmp-Att-Yd-TD-INT,10-24-189-0-2,19-27-195-0-2
Sacked-Yards,2-25,4-24
Net Pass Yards,164,171
Total Yards,299,288
Fumbles-Lost,1-0,4-1
Turnovers,2,3
Penalties-Yards,2-20,1-4
Third Down Conv.,4-14,4-13
Fourth Down Conv.,0-0,1-2
Time of Possession,32:31,27:29
