Unnamed: 0,DAL,PHI
First Downs,26,19
Rush-Yds-TDs,42-115-2,21-75-3
Cmp-Att-Yd-TD-INT,22-31-265-3-0,17-28-252-0-2
Sacked-Yards,3-16,4-33
Net Pass Yards,249,219
Total Yards,364,294
Fumbles-Lost,1-1,2-1
Turnovers,1,3
Penalties-Yards,11-79,8-95
Third Down Conv.,5-13,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,41:55,18:05
