Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Dan Bailey kicks off 47 yards, recovered by C.J. Spillman",0.000,4.370
1,14:55,1,10,PHI 18,0,0,Tony Romo pass incomplete,4.370,3.800
1,14:48,2,10,PHI 18,0,0,DeMarco Murray right end for 4 yards (tackle by Cedric Thornton),3.800,3.630
1,14:13,3,6,PHI 14,0,0,Tony Romo pass complete short middle to Terrance Williams for 8 yards (tackle by Cary Williams),3.630,5.830
1,13:30,1,6,PHI 6,0,0,DeMarco Murray right guard for 5 yards (tackle by Casey Matthews),5.830,5.910
1,12:51,2,1,PHI 1,6,0,"DeMarco Murray right guard for 1 yard, touchdown",5.910,7.000
1,12:51,,,PHI 2,7,0,Dan Bailey kicks extra point good,0.000,0.000
1,,,,DAL 35,,,"Dan Bailey kicks off 56 yards, returned by Josh Huff for 13 yards (tackle by Barry Church)",,
1,12:41,1,10,PHI 22,7,0,Mark Sanchez pass complete short left to Riley Cooper for no gain,0.410,-0.130
1,12:21,2,10,PHI 22,7,0,"Penalty on Jason Peters: False Start, 5 yards (no play)",-0.130,-0.940
1,12:09,2,15,PHI 17,7,0,LeSean McCoy right end for 3 yards (tackle by Anthony Hitchens and Rolando McClain),-0.940,-1.090
1,11:37,3,12,PHI 20,7,0,Mark Sanchez pass incomplete short left intended for LeSean McCoy,-1.090,-2.030
1,11:33,4,12,PHI 20,7,0,Donnie Jones punts 68 yards,-2.030,0.350
1,11:20,1,10,DAL 12,7,0,DeMarco Murray right end for 3 yards (tackle by Cedric Thornton and Connor Barwin),-0.350,-0.500
1,10:37,2,7,DAL 15,7,0,Tony Romo pass incomplete short left intended for Jason Witten,-0.500,-1.070
1,10:33,3,7,DAL 15,7,0,Tony Romo pass complete deep middle to Jason Witten for 21 yards (tackle by Nate Allen),-1.070,1.330
1,9:55,1,10,DAL 36,7,0,Tony Romo pass incomplete short left intended for Dwayne Harris (defended by Cary Williams),1.330,0.790
1,9:49,2,10,DAL 36,7,0,DeMarco Murray left end for 5 yards (tackle by Malcolm Jenkins),0.790,0.760
1,9:06,3,5,DAL 41,7,0,Tony Romo pass complete short left to Jason Witten for 17 yards (tackle by Malcolm Jenkins),0.760,2.790
1,8:27,1,10,PHI 42,7,0,DeMarco Murray left end for 9 yards (tackle by Casey Matthews),2.790,3.460
1,7:49,2,1,PHI 33,7,0,Lance Dunbar left end for 3 yards (tackle by Casey Matthews and Cedric Thornton),3.460,3.580
1,7:08,1,10,PHI 30,7,0,Tony Romo pass incomplete short right intended for Lance Dunbar,3.580,3.030
1,7:01,2,10,PHI 30,7,0,DeMarco Murray left end for 7 yards (tackle by Nate Allen),3.030,3.270
1,6:17,3,3,PHI 23,7,0,Tony Romo pass complete short left to Jason Witten for 4 yards (tackle by Nate Allen),3.270,4.310
1,5:49,1,10,PHI 19,7,0,DeMarco Murray right end for 5 yards (tackle by Bradley Fletcher),4.310,4.530
1,5:18,2,5,PHI 14,7,0,Tony Romo pass complete short right to Cole Beasley for 7 yards,4.530,5.600
1,4:42,1,7,PHI 7,7,0,DeMarco Murray middle for -2 yards (tackle by Fletcher Cox),5.600,4.380
1,3:59,2,9,PHI 9,7,0,"Tony Romo pass incomplete short left intended for Dez Bryant. Penalty on Cary Williams: Illegal Contact, 5 yards (no play)",4.380,6.280
1,3:51,1,4,PHI 4,7,0,DeMarco Murray middle for no gain (tackle by Bennie Logan),6.280,5.340
1,3:08,2,4,PHI 4,13,0,"Tony Romo pass complete short right to Dez Bryant for 4 yards, touchdown",5.340,7.000
1,3:08,,,PHI 2,14,0,Dan Bailey kicks extra point good,0.000,0.000
1,3:08,,,DAL 35,14,0,"Dan Bailey kicks off 66 yards, returned by Brad Smith for 21 yards (tackle by James Hanna)",0.000,-0.280
1,2:59,1,10,PHI 20,14,0,LeSean McCoy left end for -1 yards (tackle by Nick Hayden and Rolando McClain),0.280,-0.460
1,2:42,2,11,PHI 19,14,0,LeSean McCoy middle for 5 yards (tackle by Rolando McClain),-0.460,-0.430
1,2:17,3,6,PHI 24,14,0,Mark Sanchez sacked by Jeremy Mincey for -7 yards,-0.430,-2.320
1,1:48,4,13,PHI 17,14,0,"Donnie Jones punts 43 yards, returned by Dwayne Harris for -1 yards (tackle by Nolan Carroll). Penalty on Josh Huff: Player Out of Bounds on Punt, 5 yards",-2.320,-1.860
1,1:38,1,10,DAL 44,14,0,Joseph Randle left end for -1 yards (tackle by Trent Cole),1.860,1.180
1,0:57,2,11,DAL 43,14,0,Tony Romo pass complete short left to Cole Beasley for 13 yards (tackle by Emmanuel Acho),1.180,2.650
1,0:18,1,10,PHI 44,14,0,Tony Romo pass incomplete,2.650,2.110
1,0:13,2,10,PHI 44,14,0,Joseph Randle left end for 14 yards (tackle by Emmanuel Acho),2.110,3.580
Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 30,14,0,DeMarco Murray right end for 5 yards (tackle by Mychal Kendricks),3.580,3.710
2,14:26,2,5,PHI 25,14,0,"DeMarco Murray right end for -1 yards (tackle by Malcolm Jenkins). Penalty on Jason Witten: Offensive Holding, 10 yards (no play)",3.710,2.360
2,14:04,2,15,PHI 35,14,0,Tony Romo pass complete short left to Cole Beasley for 10 yards (tackle by Brandon Boykin),2.360,3.010
2,13:22,3,5,PHI 25,14,0,"Penalty on Tyron Smith: False Start, 5 yards (no play)",3.010,2.340
