Quarter,Time,Tm,Detail,DAL,PHI
1.0,12:46,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),7,0
,3:04,Cowboys,Dez Bryant 4 yard pass from Tony Romo (Dan Bailey kick),14,0
2.0,11:56,Cowboys,Dez Bryant 26 yard pass from Tony Romo (Dan Bailey kick),21,0
,8:32,Eagles,Chris Polk 5 yard rush (Cody Parkey kick),21,7
,1:48,Eagles,Cody Parkey 47 yard field goal,21,10
3.0,8:48,Eagles,Chris Polk 1 yard rush (Cody Parkey kick),21,17
,5:42,Eagles,Darren Sproles 1 yard rush (Cody Parkey kick),21,24
,0:39,Cowboys,DeMarco Murray 2 yard rush (Dan Bailey kick),28,24
4.0,12:48,Cowboys,Dez Bryant 25 yard pass from Tony Romo (Dan Bailey kick),35,24
,10:45,Eagles,Cody Parkey 43 yard field goal,35,27
,4:37,Cowboys,Dan Bailey 49 yard field goal,38,27
