Unnamed: 0,NYG,DAL
First Downs,28,23
Rush-Yds-TDs,31-110-2,24-139-0
Cmp-Att-Yd-TD-INT,27-47-400-2-1,21-31-321-4-0
Sacked-Yards,0-0,3-16
Net Pass Yards,400,305
Total Yards,510,444
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,6-55,10-51
Third Down Conv.,6-14,5-10
Fourth Down Conv.,1-1,0-0
Time of Possession,34:19,25:41
