Quarter,Time,Tm,Detail,NYJ,BUF
2.0,10:54,Jets,Sam Ficken 30 yard field goal,3,0
3.0,1:29,Bills,Stephen Hauschka 28 yard field goal,3,3
4.0,13:31,Jets,Jamison Crowder 1 yard pass from Sam Darnold (Sam Ficken kick),10,3
,2:05,Jets,Sam Ficken 47 yard field goal,13,3
,0:47,Bills,Stephen Hauschka 29 yard field goal,13,6
