Unnamed: 0,LAR,DAL
First Downs,23,25
Rush-Yds-TDs,14-22-1,45-263-3
Cmp-Att-Yd-TD-INT,34-52-289-2-1,15-23-212-2-0
Sacked-Yards,2-22,0-0
Net Pass Yards,267,212
Total Yards,289,475
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,5-29,4-16
Third Down Conv.,4-12,7-13
Fourth Down Conv.,1-2,1-1
Time of Possession,23:54,36:06
