Quarter,Time,Tm,Detail,LAR,DAL
1.0,1:47,Cowboys,Jason Witten 19 yard pass from Dak Prescott (Kai Forbath kick),0,7
2.0,12:58,Rams,Todd Gurley 2 yard pass from Jared Goff (Greg Zuerlein kick),7,7
,11:37,Cowboys,Tavon Austin 59 yard pass from Dak Prescott (Kai Forbath kick),7,14
,1:57,Cowboys,Ezekiel Elliott 1 yard rush (Kai Forbath kick),7,21
,0:16,Cowboys,Ezekiel Elliott 3 yard rush (Kai Forbath kick),7,28
3.0,11:09,Cowboys,Kai Forbath 50 yard field goal,7,31
4.0,14:56,Cowboys,Kai Forbath 42 yard field goal,7,34
,6:40,Cowboys,Kai Forbath 42 yard field goal,7,37
,3:17,Rams,Todd Gurley 7 yard rush (Todd Gurley run),15,37
,3:00,Cowboys,Tony Pollard 44 yard rush (Kai Forbath kick),15,44
,0:40,Rams,Cooper Kupp 7 yard pass from Jared Goff (pass failed),21,44
