Quarter,Time,Down,ToGo,Location,LAC,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Michael Badgley kicks off 60 yards, returned by Ty Montgomery for no gain (tackle by Desmond King)",0.000,0.340
1,14:53,1,10,BAL 21,0,0,Lamar Jackson right tackle for -1 yards (tackle by Derwin James),0.340,-0.340
1,14:16,2,11,BAL 20,0,0,Lamar Jackson pass complete short right to John Brown for 5 yards (tackle by Michael Davis),-0.340,-0.360
1,13:34,3,6,BAL 25,0,0,Lamar Jackson pass complete short middle to Willie Snead for 12 yards (tackle by Jahleel Addae),-0.360,1.400
1,13:01,1,10,BAL 37,0,0,Lamar Jackson pass incomplete short right,1.400,0.860
1,12:52,2,10,BAL 37,0,0,Gus Edwards up the middle for 5 yards (tackle by Damion Square and Jahleel Addae),0.860,0.830
1,12:16,3,5,BAL 42,0,0,"Lamar Jackson up the middle for no gain. Lamar Jackson fumbles, recovered by Lamar Jackson at BAL-30 Lamar Jackson pass incomplete short left intended for Willie Snead",0.830,-0.590
1,12:03,4,5,BAL 42,0,0,"Sam Koch punts 44 yards, returned by Desmond King for 9 yards (tackle by Chris Moore)",-0.590,-0.480
1,11:54,1,10,LAC 23,0,0,Philip Rivers pass incomplete short left,0.480,-0.070
1,11:48,2,10,LAC 23,0,0,Philip Rivers pass complete short middle to Travis Benjamin for 8 yards (tackle by Patrick Onwuasor),-0.070,0.300
1,11:08,3,2,LAC 31,0,0,Philip Rivers pass complete short right to Travis Benjamin for -1 yards (tackle by Matt Judon),0.300,-1.370
1,10:32,4,3,LAC 30,0,0,Donnie Jones punts 42 yards out of bounds,-1.370,-0.810
1,10:21,1,10,BAL 28,0,0,"Lamar Jackson aborted snap, recovered by Ronnie Stanley at BAL-14 (tackle by T.Y. McGill)",0.810,-1.760
1,9:39,2,24,BAL 14,0,0,"Kenneth Dixon left guard for no gain (tackle by Melvin Ingram). Kenneth Dixon fumbles (forced by Melvin Ingram), recovered by Adrian Phillips at BAL-15 (tackle by Maxx Williams)",-1.760,-4.580
1,9:35,1,10,BAL 15,0,0,"Melvin Gordon up the middle for 3 yards (tackle by Tony Jefferson and Michael Pierce). Penalty on Patrick Onwuasor: Unnecessary Roughness, 6 yards",4.580,5.830
1,9:04,1,6,BAL 6,0,0,Melvin Gordon up the middle for 3 yards (tackle by C.J. Mosley),5.830,5.530
1,8:20,2,3,BAL 3,0,0,Melvin Gordon right guard for 2 yards (tackle by C.J. Mosley and Tony Jefferson),5.530,5.170
1,7:43,3,1,BAL 1,0,0,Austin Ekeler left guard for -2 yards (tackle by Brent Urban),5.170,3.040
1,7:03,4,3,BAL 3,3,0,Michael Badgley 21 yard field goal good,3.040,3.000
1,6:59,,,LAC 35,3,0,"Michael Badgley kicks off 62 yards, returned by Ty Montgomery for no gain (tackle by Rayshawn Jenkins and Kyle Wilson)",0.000,0.150
1,6:54,1,10,BAL 19,3,0,Gus Edwards right guard for 4 yards (tackle by Justin Jones),0.150,0.210
1,6:21,2,6,BAL 23,3,0,Gus Edwards right guard for 1 yard (tackle by Melvin Ingram),0.210,-0.420
1,5:48,3,5,BAL 24,3,0,Lamar Jackson left end for 15 yards (tackle by Desmond King and Jahleel Addae),-0.420,1.530
1,4:59,1,10,BAL 39,3,0,Lamar Jackson pass incomplete short middle intended for Willie Snead,1.530,0.990
1,4:56,2,10,BAL 39,3,0,Gus Edwards up the middle for -1 yards (tackle by Darius Philon),0.990,0.170
1,4:19,3,11,BAL 38,3,0,Lamar Jackson sacked by Joey Bosa for -6 yards,0.170,-1.240
1,3:35,4,17,BAL 32,3,0,"Sam Koch punts 43 yards, returned by Desmond King for 33 yards (tackle by Anthony Levine and Sam Koch)",-1.240,-2.790
1,3:21,1,10,BAL 42,3,0,Philip Rivers pass complete short right to Austin Ekeler for 2 yards (tackle by Brandon Carr and C.J. Mosley),2.790,2.510
1,2:40,2,8,BAL 40,3,0,Austin Ekeler left guard for 1 yard (tackle by Jimmy Smith),2.510,1.950
1,1:56,3,7,BAL 39,3,0,Philip Rivers pass complete short middle to Tyrell Williams for 4 yards (tackle by C.J. Mosley and Brandon Carr),1.950,0.990
1,1:14,4,3,BAL 35,6,0,Michael Badgley 53 yard field goal good,0.990,3.000
1,1:08,,,LAC 35,6,0,"Michael Badgley kicks off 62 yards, returned by Ty Montgomery for no gain (tackle by Geremy Davis)",0.000,0.740
1,1:02,1,10,BAL 27,6,0,Gus Edwards right guard for 5 yards (tackle by Isaac Rochell and Adrian Phillips),0.740,0.870
1,0:24,2,5,BAL 32,6,0,Kenneth Dixon right guard for 3 yards (tackle by Adrian Phillips),0.870,0.560
Quarter,Time,Down,ToGo,Location,LAC,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,BAL 35,6,0,Kenneth Dixon right guard for no gain (tackle by Adrian Phillips),0.560,-1.040
2,14:25,4,2,BAL 35,6,0,"Sam Koch punts 59 yards, returned by Desmond King for 4 yards (tackle by Chris Moore)",-1.040,0.380
2,14:14,1,10,LAC 10,6,0,Melvin Gordon left tackle for -2 yards (tackle by Matt Judon),-0.380,-0.930
2,13:27,2,12,LAC 8,6,0,Philip Rivers pass complete short right to Austin Ekeler for 6 yards (tackle by Terrell Suggs),-0.930,-0.950
2,12:40,3,6,LAC 14,6,0,Philip Rivers pass complete deep left to Keenan Allen for 17 yards (tackle by Jimmy Smith),-0.950,1.000
2,12:00,1,10,LAC 31,6,0,Melvin Gordon left guard for 1 yard (tackle by Brandon Carr),1.000,0.600
2,11:20,2,9,LAC 32,6,0,Philip Rivers up the middle for 7 yards (tackle by Kenny Young),0.600,0.830
2,10:32,3,2,LAC 39,6,0,Philip Rivers pass incomplete short middle intended for Mike Williams,0.830,-0.780
2,10:28,4,2,LAC 39,6,0,Donnie Jones punts 38 yards downed by Derek Watt,-0.780,-0.480
2,10:17,1,10,BAL 23,6,0,Lamar Jackson pass incomplete deep right intended for Michael Crabtree,0.480,-0.070
2,10:10,2,10,BAL 23,6,0,Lamar Jackson left end for 17 yards (tackle by Michael Davis),-0.070,1.600
2,9:32,1,10,BAL 40,6,0,Kenneth Dixon right guard for 4 yards (tackle by Joey Bosa),1.600,1.590
2,8:57,2,6,BAL 44,6,0,Lamar Jackson pass short middle (defended by Casey Hayward) intended for Chris Moore is intercepted by Adrian Phillips at LAC-41 and returned for no gain,1.590,-1.660
2,8:51,1,10,LAC 41,6,0,Philip Rivers pass complete short right to Melvin Gordon for 3 yards (tackle by Brandon Carr),1.660,1.530
2,8:12,2,7,LAC 44,6,0,Melvin Gordon left tackle for 6 yards (tackle by Jimmy Smith),1.530,1.620
2,7:49,3,1,LAC 50,6,0,"Melvin Gordon left guard for no gain (tackle by C.J. Mosley) Penalty on BAL: Defensive Too Many Men on Field, 5 yards (no play)",1.620,2.590
2,7:27,1,10,BAL 45,6,0,Philip Rivers sacked by Patrick Onwuasor for -6 yards,2.590,1.230
2,6:42,2,16,LAC 49,6,0,Philip Rivers pass complete short middle to Keenan Allen for 12 yards (tackle by Kenny Young),1.230,2.150
2,5:57,3,4,BAL 39,6,0,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Tony Jefferson),2.150,3.580
2,5:16,1,10,BAL 30,6,0,Melvin Gordon left guard for 1 yard (tackle by Matt Judon and Patrick Onwuasor),3.580,3.170
2,4:39,2,9,BAL 29,6,0,Austin Ekeler right guard for 2 yards (tackle by C.J. Mosley),3.170,2.740
2,4:01,3,7,BAL 27,6,0,"Penalty on Matt Judon: Neutral Zone Infraction, 5 yards (no play)",2.740,3.400
2,3:35,3,2,BAL 22,6,0,Philip Rivers pass incomplete deep right intended for Keenan Allen,3.400,2.120
2,3:26,4,2,BAL 22,9,0,Michael Badgley 40 yard field goal good,2.120,3.000
2,3:22,,,LAC 35,9,0,"Michael Badgley kicks off 53 yards, returned by Ty Montgomery for no gain (tackle by Kyle Wilson)",0.000,0.610
2,3:17,1,10,BAL 25,9,0,Kenneth Dixon up the middle for 2 yards (tackle by Melvin Ingram),0.610,0.330
2,2:42,2,8,BAL 27,9,0,Kenneth Dixon up the middle for 4 yards (tackle by Adrian Phillips and Justin Jones),0.330,0.170
2,2:00,3,4,BAL 31,9,0,Lamar Jackson pass incomplete short left intended for Mark Andrews,0.170,-1.310
2,1:55,4,4,BAL 31,9,0,"Sam Koch punts 43 yards, fair catch by Desmond King at LAC-26",-1.310,-0.670
