Quarter,Time,Tm,Detail,LAC,BAL
1.0,6:59,Chargers,Michael Badgley 21 yard field goal,3,0
,1:08,Chargers,Michael Badgley 53 yard field goal,6,0
2.0,3:22,Chargers,Michael Badgley 40 yard field goal,9,0
,0:00,Chargers,Michael Badgley 34 yard field goal,12,0
3.0,8:30,Ravens,Justin Tucker 33 yard field goal,12,3
4.0,14:44,Chargers,Melvin Gordon 1 yard rush (Mike Williams pass from Philip Rivers),20,3
,9:09,Chargers,Michael Badgley 47 yard field goal,23,3
,6:33,Ravens,Michael Crabtree 31 yard pass from Lamar Jackson (Justin Tucker kick),23,10
,1:59,Ravens,Michael Crabtree 7 yard pass from Lamar Jackson (Justin Tucker kick),23,17
