Unnamed: 0,LAC,BAL
First Downs,14,11
Rush-Yds-TDs,33-89-1,23-90-0
Cmp-Att-Yd-TD-INT,22-32-160-0-0,14-29-194-2-1
Sacked-Yards,1-6,7-55
Net Pass Yards,154,139
Total Yards,243,229
Fumbles-Lost,1-1,4-2
Turnovers,1,3
Penalties-Yards,5-35,7-41
Third Down Conv.,6-17,5-15
Fourth Down Conv.,1-1,2-2
Time of Possession,33:40,26:20
