Unnamed: 0,NOR,CAR
First Downs,23,14
Rush-Yds-TDs,33-134-2,19-100-0
Cmp-Att-Yd-TD-INT,22-37-236-0-1,22-33-153-1-0
Sacked-Yards,4-29,4-14
Net Pass Yards,207,139
Total Yards,341,239
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,3-32,6-35
Third Down Conv.,7-16,4-14
Fourth Down Conv.,0-0,1-1
Time of Possession,32:49,27:11
