Unnamed: 0,TEN,NYJ
First Downs,17,13
Rush-Yds-TDs,30-127-1,31-83-1
Cmp-Att-Yd-TD-INT,15-37-170-1-2,17-30-171-2-1
Sacked-Yards,2-11,3-25
Net Pass Yards,159,146
Total Yards,286,229
Fumbles-Lost,2-2,2-1
Turnovers,4,2
Penalties-Yards,3-15,3-25
Third Down Conv.,4-14,4-16
Fourth Down Conv.,0-2,0-0
Time of Possession,27:22,32:38
