Quarter,Time,Tm,Detail,SEA,NYJ
1.0,9:54,Jets,Doug Brien 21 yard field goal,0,3
,5:27,Seahawks,Jerry Rice 12 yard pass from Matt Hasselbeck (Josh Brown kick),7,3
2.0,14:57,Jets,Curtis Martin 1 yard rush (Doug Brien kick),7,10
,7:44,Jets,Curtis Martin 3 yard rush (Doug Brien kick),7,17
,1:48,Jets,Santana Moss 32 yard pass from Chad Pennington (Doug Brien kick),7,24
,0:03,Seahawks,Jerramy Stevens 6 yard pass from Matt Hasselbeck (Josh Brown kick),14,24
3.0,9:22,Jets,Santana Moss 7 yard pass from Chad Pennington (Doug Brien kick failed),14,30
4.0,8:14,Jets,Justin McCareins 5 yard pass from Chad Pennington (Doug Brien kick),14,37
