Quarter,Time,Down,ToGo,Location,SEA,NYJ,Detail,EPB,EPA
2,,,,SEA 2,7,10,Doug Brien kicks extra point good,0.000,0.000
2,,,,NYJ 30,7,10,"Toby Gowin kicks off 65 yards, returned by Maurice Morris for 18 yards (tackle by Trevor Johnson)",0.000,0.480
2,14:51,1,10,SEA 23,7,10,Matt Hasselbeck pass complete to Shaun Alexander for 4 yards (tackle by Bryan Thomas),0.480,0.470
2,14:31,2,6,SEA 27,7,10,Matt Hasselbeck pass incomplete intended for Ryan Hannam (defended by Bryan Thomas),0.470,-0.230
2,14:27,3,6,SEA 27,7,10,Matt Hasselbeck pass complete to Itula Mili for 9 yards (tackle by Reggie Tongue),-0.230,1.330
2,14:04,1,10,SEA 36,7,10,Shaun Alexander up the middle for -1 yards (tackle by Shaun Ellis and Eric Barton),1.330,0.660
2,13:24,2,11,SEA 35,7,10,Matt Hasselbeck sacked by Erik Coleman for -6 yards,0.660,-0.820
2,12:51,3,17,SEA 29,7,10,Shaun Alexander left end for 7 yards (tackle by Erik Coleman),-0.820,-0.980
2,12:09,4,10,SEA 36,7,10,Ken Walter punts 33 yards,-0.980,-1.000
2,12:00,1,10,NYJ 31,7,10,Chad Pennington pass complete to LaMont Jordan for 8 yards (tackle by Tracy White),1.000,1.540
2,11:18,2,2,NYJ 39,7,10,Chad Pennington pass complete to Jerald Sowell for 21 yards (tackle by Ken Hamlin),1.540,2.920
2,10:34,1,10,SEA 40,7,10,Curtis Martin left guard for 12 yards (tackle by Michael Boulware),2.920,3.710
2,9:53,1,10,SEA 28,7,10,Chad Pennington pass complete to Jerald Sowell for 7 yards (tackle by Ken Hamlin),3.710,4.110
2,9:15,2,3,SEA 21,7,10,Curtis Martin right tackle for 15 yards (tackle by Michael Boulware),4.110,5.830
2,8:37,1,6,SEA 6,7,10,LaMont Jordan left guard for 3 yards (tackle by Rashad Moore and Craig Terrill),5.830,5.530
2,7:57,2,3,SEA 3,7,10,Chad Pennington pass incomplete intended for Anthony Becht (defended by Orlando Huff),5.530,4.720
2,7:49,3,3,SEA 3,7,16,"Curtis Martin right tackle for 3 yards, touchdown",4.720,7.000
,,,,,,,"SEA challenged the ruling, and the play was upheld.",,
2,,,,SEA 2,7,17,Doug Brien kicks extra point good,0.000,0.000
2,,,,NYJ 30,7,17,"Toby Gowin kicks off 62 yards, returned by Maurice Morris for 12 yards (tackle by Jason Glenn)",0.000,0.280
2,7:38,1,10,SEA 20,7,17,Matt Hasselbeck pass complete to Itula Mili for 20 yards (tackle by Reggie Tongue),0.280,1.600
2,7:05,1,10,SEA 40,7,17,Shaun Alexander right tackle for no gain (tackle by Shaun Ellis and Dewayne Robertson),1.600,1.050
2,6:29,2,10,SEA 40,7,17,Matt Hasselbeck pass complete to Itula Mili for 9 yards (tackle by Sam Cowart),1.050,1.550
2,5:55,3,1,SEA 49,7,17,Shaun Alexander right end for 3 yards (tackle by Bryan Thomas and Dewayne Robertson),1.550,2.390
2,5:19,1,10,NYJ 48,7,17,Matt Hasselbeck pass complete to Bobby Engram for 7 yards (tackle by Erik Coleman),2.390,2.790
2,4:02,2,3,NYJ 41,7,17,Shaun Alexander up the middle for 2 yards (tackle by Jason Ferguson),2.790,2.340
2,4:02,3,1,NYJ 39,7,17,Mack Strong up the middle for 1 yard (tackle by Sam Cowart),2.340,3.050
2,3:25,1,10,NYJ 38,7,17,"Matt Hasselbeck pass incomplete intended for Darrell Jackson. Penalty on Darrell Jackson: Offensive Pass Interference, 10 yards (no play)",3.050,2.390
2,3:18,1,20,NYJ 48,7,17,Matt Hasselbeck pass incomplete intended for Itula Mili is intercepted by Eric Barton at NYJ-39 and returned for 7 yards (tackle by Steve Hutchinson),2.390,-1.990
2,3:08,1,10,NYJ 46,7,17,Curtis Martin left guard for 2 yards (tackle by Niko Koutouvides),1.990,1.720
2,2:39,2,8,NYJ 48,7,17,Curtis Martin left end for 5 yards (tackle by Niko Koutouvides),1.720,1.690
2,2:02,3,3,SEA 47,7,17,Chad Pennington pass complete to Santana Moss for 15 yards (tackle by Niko Koutouvides),1.690,3.450
2,1:55,1,10,SEA 32,7,23,"Chad Pennington pass complete to Santana Moss for 32 yards, touchdown",3.450,7.000
2,,,,SEA 2,7,24,Doug Brien kicks extra point good,0.000,0.000
2,,,,NYJ 30,7,24,"Toby Gowin kicks off 63 yards, returned by Maurice Morris for 17 yards (tackle by Jon McGraw)",0.000,0.540
2,1:43,1,10,SEA 24,7,24,Matt Hasselbeck pass complete to Shaun Alexander for -2 yards (tackle by Erik Coleman),0.540,-0.270
2,1:34,,,,7,24,Timeout #1 by New York Jets,0.000,-0.270
2,1:34,2,12,SEA 22,7,24,Shaun Alexander right tackle for 16 yards (tackle by Jon McGraw),-0.270,1.470
2,1:14,1,10,SEA 38,7,24,Matt Hasselbeck pass incomplete intended for Darrell Jackson (defended by Terrell Buckley),1.470,0.920
2,1:07,2,10,SEA 38,7,24,Matt Hasselbeck pass incomplete intended for Itula Mili (defended by Eric Barton),0.920,0.230
2,1:01,3,10,SEA 38,7,24,Matt Hasselbeck pass complete to Bobby Engram for 14 yards (tackle by Erik Coleman),0.230,2.390
2,0:54,1,10,NYJ 48,7,24,"Matt Hasselbeck pass incomplete intended for Jerry Rice. Penalty on Shaun Ellis: Defensive Offside, 5 yards (no play)",2.390,3.120
2,0:54,1,5,NYJ 43,7,24,Matt Hasselbeck pass incomplete intended for Jerry Rice (defended by Donnie Abraham),3.120,2.520
2,0:49,2,5,NYJ 43,7,24,Matt Hasselbeck pass complete to Darrell Jackson for 18 yards (tackle by Jonathan Vilma),2.520,3.910
2,0:41,,,,7,24,Timeout #2 by Seattle Seahawks,0.000,3.910
2,0:41,1,10,NYJ 25,7,24,Matt Hasselbeck pass incomplete intended for Shaun Alexander,3.910,3.360
2,0:36,2,10,NYJ 25,7,24,Matt Hasselbeck pass complete to Shaun Alexander for 11 yards (tackle by Eric Barton),3.360,4.650
2,0:17,1,10,NYJ 14,7,24,Matt Hasselbeck spiked the ball,4.650,4.000
2,0:17,2,10,NYJ 14,7,24,Matt Hasselbeck pass complete to Darrell Jackson for 8 yards (tackle by Eric Barton),4.000,4.730
2,0:07,,,,7,24,Timeout #3 by Seattle Seahawks,0.000,4.730
2,0:07,3,2,NYJ 6,13,24,"Matt Hasselbeck pass complete to Jerramy Stevens for 6 yards, touchdown",4.730,7.000
2,,,,NYJ 2,14,24,Josh Brown kicks extra point good,0.000,0.000
2,,,,SEA 30,14,24,"Josh Brown kicks off 45 yards, returned by LaMont Jordan for 13 yards. LaMont Jordan fumbles, recovered by Jason Glenn at NYJ-36 and returned for 2 yards",0.000,0.940
Quarter,Time,Down,ToGo,Location,SEA,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,14,24,"Toby Gowin kicks off 59 yards, returned by Maurice Morris for 18 yards (tackle by Trevor Johnson). Penalty on Tracy White: Offensive Holding, 10 yards",0.000,0.150
3,14:54,1,10,SEA 19,14,24,Shaun Alexander up the middle for 4 yards (tackle by Jason Ferguson and Eric Barton),0.150,0.210
3,14:21,2,6,SEA 23,14,24,Matt Hasselbeck pass complete to Jerry Rice for 5 yards (tackle by David Barrett),0.210,0.100
3,13:44,3,1,SEA 28,14,24,Matt Hasselbeck pass incomplete intended for Darrell Jackson,0.100,-1.500
3,13:38,4,1,SEA 28,14,24,"Ken Walter punts 44 yards. Penalty on Darrell McClover: Offensive Holding, 10 yards",-1.500,-0.040
3,13:29,1,10,NYJ 18,14,24,Curtis Martin left guard for 2 yards (tackle by Rashad Moore),0.040,-0.130
3,12:46,2,8,NYJ 20,14,24,Curtis Martin up the middle for 2 yards (tackle by Chad Brown and Antonio Cochran),-0.130,-0.660
3,12:08,3,6,NYJ 22,14,24,Chad Pennington pass complete to Jerald Sowell for 14 yards (tackle by Marcus Trufant),-0.660,1.330
3,11:22,1,10,NYJ 36,14,24,Chad Pennington pass complete to Justin McCareins for 21 yards (tackle by Ken Lucas),1.330,2.720
3,10:59,1,10,SEA 43,14,24,LaMont Jordan right end for 33 yards (tackle by Ken Hamlin and Solomon Bates),2.720,4.910
3,10:11,1,10,SEA 10,14,24,Curtis Martin left tackle for 3 yards (tackle by Chad Brown and Orlando Huff),4.910,4.760
3,9:31,2,7,SEA 7,14,24,Chad Pennington pass incomplete intended for Anthony Becht,4.760,3.810
3,9:27,3,7,SEA 7,14,30,"Chad Pennington pass complete to Santana Moss for 7 yards, touchdown",3.810,7.000
3,,,,SEA 2,14,30,Doug Brien kicks extra point no good,0.000,-1.000
3,,,,NYJ 30,14,30,"Toby Gowin kicks off 60 yards, returned by Maurice Morris for 21 yards (tackle by Trevor Johnson)",0.000,1.000
3,9:16,1,10,SEA 31,14,30,Matt Hasselbeck pass complete to Darrell Jackson for 10 yards (tackle by Reggie Tongue),1.000,1.660
3,8:48,1,10,SEA 41,14,30,Matt Hasselbeck pass complete to Itula Mili for 5 yards (tackle by Jonathan Vilma),1.660,1.800
3,8:11,2,5,SEA 46,14,30,Shaun Alexander up the middle for 4 yards (tackle by Donnie Abraham and Jonathan Vilma),1.800,1.620
3,7:35,3,1,NYJ 50,14,30,Shaun Alexander right tackle for 2 yards (tackle by Jason Ferguson and Eric Barton),1.620,2.390
3,7:04,1,10,NYJ 48,14,30,Matt Hasselbeck pass complete to Darrell Jackson for 9 yards (tackle by Terrell Buckley),2.390,3.060
3,6:34,2,1,NYJ 39,14,30,Shaun Alexander right guard for 4 yards (tackle by Jonathan Vilma and Alan Harper),3.060,3.250
3,6:01,1,10,NYJ 35,14,30,Maurice Morris left end for 6 yards (tackle by David Barrett),3.250,3.510
3,5:40,2,4,NYJ 29,14,30,Matt Hasselbeck pass complete to Bobby Engram for 5 yards (tackle by Eric Barton),3.510,3.970
3,5:17,1,10,NYJ 24,14,30,Shaun Alexander left guard for 4 yards (tackle by Erik Coleman),3.970,3.970
3,4:39,2,6,NYJ 20,14,30,Matt Hasselbeck pass complete to Ryan Hannam for 17 yards (tackle by Reggie Tongue),3.970,6.510
3,4:02,1,3,NYJ 3,14,30,Shaun Alexander right guard for 2 yards (tackle by Mark Brown),6.510,5.910
3,3:29,2,1,NYJ 1,14,30,Matt Hasselbeck sacked by Shaun Ellis for 0 yards,5.910,5.170
3,2:54,3,1,NYJ 1,14,30,Shaun Alexander up the middle for no gain (tackle by Bryan Thomas and Jason Ferguson),5.170,3.550
3,2:20,4,1,NYJ 1,14,30,"Shaun Alexander right end for no gain (tackle by Eric Barton). Shaun Alexander fumbles (forced by Eric Barton), recovered by Shaun Ellis at NYJ-0",3.550,-0.280
3,2:13,1,10,NYJ 20,14,30,Curtis Martin right end for 6 yards (tackle by Michael Boulware),0.280,0.540
3,1:48,2,4,NYJ 26,14,30,Curtis Martin left guard for 6 yards (tackle by Ken Hamlin),0.540,1.070
3,1:09,1,10,NYJ 32,14,30,Chad Pennington pass complete to Chris Baker for 17 yards (tackle by Antonio Cochran),1.070,2.190
3,0:24,1,10,NYJ 49,14,30,Chad Pennington pass complete to LaMont Jordan for 10 yards (tackle by Chad Brown),2.190,2.850
Quarter,Time,Down,ToGo,Location,SEA,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 41,14,30,Chad Pennington pass incomplete intended for Anthony Becht,2.850,2.310
4,14:54,2,10,SEA 41,14,30,Curtis Martin left guard for 6 yards (tackle by Brandon Mitchell),2.310,2.410
4,14:15,3,4,SEA 35,14,30,Curtis Martin left end for 18 yards (tackle by Isaiah Kacyvenski),2.410,4.440
4,13:46,1,10,SEA 17,14,30,LaMont Jordan right tackle for -2 yards (tackle by Isaiah Kacyvenski),4.440,3.600
4,13:10,2,12,SEA 19,14,30,Chad Pennington pass incomplete intended for LaMont Jordan (defended by Brandon Mitchell),3.600,2.910
4,13:05,3,12,SEA 19,14,30,LaMont Jordan right tackle for 7 yards (tackle by Chad Brown),2.910,2.680
4,12:26,4,5,SEA 12,14,30,Doug Brien 30 yard field goal no good,2.680,-0.340
4,12:19,1,10,SEA 21,14,30,Matt Hasselbeck sacked by Eric Barton for -6 yards,0.340,-1.140
4,11:53,2,16,SEA 15,14,30,Matt Hasselbeck pass complete to Shaun Alexander for 6 yards (tackle by David Barrett),-1.140,-0.890
4,11:27,3,10,SEA 21,14,30,"Matt Hasselbeck sacked by Shaun Ellis for -4 yards. Matt Hasselbeck fumbles (forced by Shaun Ellis), recovered by Eric Barton at SEA-23",-0.890,-4.040
4,11:18,1,10,SEA 23,14,30,Curtis Martin right end for -3 yards (tackle by Chad Brown),4.040,3.090
4,10:36,2,13,SEA 26,14,30,Curtis Martin left end for 2 yards (tackle by Ken Lucas),3.090,2.680
4,9:54,3,11,SEA 24,14,30,Chad Pennington pass complete to Jerricho Cotchery for 15 yards (tackle by Ken Hamlin),2.680,5.140
4,9:04,1,9,SEA 9,14,30,Curtis Martin right tackle for 4 yards (tackle by Orlando Huff),5.140,5.150
4,8:20,2,5,SEA 5,14,36,"Chad Pennington pass complete to Justin McCareins for 5 yards, touchdown",5.150,7.000
4,,,,SEA 2,14,37,Doug Brien kicks extra point good,0.000,0.000
4,,,,NYJ 30,14,37,"Toby Gowin kicks off 68 yards, returned by Maurice Morris for 22 yards (tackle by Darrell McClover)",0.000,0.540
4,8:08,1,10,SEA 24,14,37,Trent Dilfer pass incomplete intended for Mack Strong,0.540,0.000
4,8:01,2,10,SEA 24,14,37,Shaun Alexander left guard for 3 yards (tackle by Eric Barton),0.000,-0.300
4,7:21,3,7,SEA 27,14,37,Trent Dilfer pass incomplete intended for Bobby Engram,-0.300,-1.570
4,7:15,4,7,SEA 27,14,37,"Ken Walter punts 31 yards, returned by Justin McCareins for 8 yards (tackle by Kris Richard)",-1.570,-2.260
4,7:06,1,10,NYJ 50,14,37,LaMont Jordan right end for 5 yards (tackle by Isaiah Kacyvenski),2.260,2.390
4,6:22,2,5,SEA 45,14,37,LaMont Jordan left tackle for no gain (tackle by Niko Koutouvides and Rashad Moore),2.390,1.690
4,5:37,3,5,SEA 45,14,37,LaMont Jordan right guard for 9 yards (tackle by Chad Brown),1.690,3.180
4,4:52,1,10,SEA 36,14,37,LaMont Jordan left end for 5 yards (tackle by Michael Boulware and Solomon Bates),3.180,3.310
4,4:08,2,5,SEA 31,14,37,LaMont Jordan left guard for 11 yards (tackle by Solomon Bates),3.310,4.240
4,3:22,1,10,SEA 20,14,37,LaMont Jordan right guard for 3 yards (tackle by Isaiah Kacyvenski and Chike Okeafor),4.240,4.120
4,2:41,2,7,SEA 17,14,37,LaMont Jordan left tackle for no gain (tackle by Niko Koutouvides and Solomon Bates),4.120,3.360
4,2:00,3,7,SEA 17,14,37,LaMont Jordan right tackle for 6 yards (tackle by Ken Hamlin and Niko Koutouvides),3.360,2.850
4,1:15,4,1,SEA 11,14,37,LaMont Jordan left guard for 2 yards (tackle by Niko Koutouvides and Solomon Bates),2.850,5.140
4,0:35,1,9,SEA 9,14,37,Chad Pennington kneels for -1 yards (tackle by Cedric Woodard),5.140,4.190
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
