Unnamed: 0,GNB,NYG
First Downs,29,24
Rush-Yds-TDs,28-89-0,20-100-1
Cmp-Att-Yd-TD-INT,28-47-369-4-1,23-40-347-3-1
Sacked-Yards,2-9,1-0
Net Pass Yards,360,347
Total Yards,449,447
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,4-30,6-55
Third Down Conv.,7-12,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,33:03,26:57
