Unnamed: 0,GNB,CAR
First Downs,22,17
Rush-Yds-TDs,19-58-0,33-90-2
Cmp-Att-Yd-TD-INT,28-47-303-4-1,17-24-206-2-0
Sacked-Yards,1-9,2-10
Net Pass Yards,294,196
Total Yards,352,286
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,8-86,8-75
Third Down Conv.,7-14,6-14
Fourth Down Conv.,0-1,0-0
Time of Possession,28:51,31:09
