Quarter,Time,Tm,Detail,GNB,CAR
1.0,12:30,Panthers,Kris Mangum 2 yard pass from Jake Delhomme (John Kasay kick),0,7
,7:30,Packers,David Martin 21 yard pass from Brett Favre (Ryan Longwell kick),7,7
2.0,12:53,Panthers,John Kasay 32 yard field goal,7,10
,8:30,Panthers,Michael Gaines 19 yard pass from Jake Delhomme (John Kasay kick failed),7,16
,3:19,Panthers,Stephen Davis 11 yard rush (John Kasay kick),7,23
3.0,7:50,Panthers,John Kasay 38 yard field goal,7,26
,3:06,Packers,Donald Driver 26 yard pass from Brett Favre (pass failed),13,26
4.0,14:44,Panthers,Stephen Davis 1 yard rush (pass failed),13,32
,11:49,Packers,Donald Lee 16 yard pass from Brett Favre (David Martin pass from Brett Favre),21,32
,3:07,Packers,Antonio Chatman 4 yard pass from Brett Favre (Robert Ferguson pass from Brett Favre),29,32
