Quarter,Time,Tm,Detail,NYJ,NWE
1.0,11:23,Patriots,James White 7 yard pass from Cam Newton (Nick Folk kick),0,7
2.0,1:40,Jets,Chris Herndon 21 yard pass from Sam Darnold (Chase McLaughlin kick),7,7
3.0,11:40,Jets,Josh Adams 1 yard rush (Chase McLaughlin kick),14,7
,2:22,Patriots,Cam Newton 19 yard pass from Jakobi Meyers (Nick Folk kick),14,14
4.0,13:56,Patriots,Devin Asiasi 26 yard pass from Cam Newton (Nick Folk kick),14,21
,11:42,Patriots,Sony Michel 31 yard pass from Cam Newton (Nick Folk kick),14,28
