Unnamed: 0,BUF,MIN
First Downs,10,22
Rush-Yds-TDs,23-84-0,40-210-3
Cmp-Att-Yd-TD-INT,15-25-158-1-1,15-23-187-2-4
Sacked-Yards,1-3,1-10
Net Pass Yards,155,177
Total Yards,239,387
Fumbles-Lost,5-4,0-0
Turnovers,5,4
Penalties-Yards,6-54,4-20
Third Down Conv.,3-12,4-12
Fourth Down Conv.,1-1,0-0
Time of Possession,26:03,33:57
