Quarter,Time,Down,ToGo,Location,BUF,MIN,Detail,EPB,EPA
1,,,,MIN 30,7,7,"Ryan Longwell kicks off 67 yards, returned by Leodis McKelvin for 16 yards. Leodis McKelvin fumbles, recovered by Frank Walker at BUF-14",0.000,-4.650
1,1:37,1,10,BUF 14,7,7,Tarvaris Jackson pass complete short left to Greg Camarillo for 7 yards (tackle by Leodis McKelvin),4.650,5.280
1,0:51,2,3,BUF 7,7,7,Toby Gerhart right guard for 1 yard (tackle by Paul Posluszny and Kyle Williams),5.280,4.730
1,0:09,3,2,BUF 6,7,7,"Tarvaris Jackson pass incomplete short right intended for Bernard Berrian. Penalty on Leodis McKelvin: Defensive Pass Interfere, 5 yards (no play)",4.730,6.970
1,0:04,1,1,BUF 1,7,7,Adrian Peterson middle for -1 yards (tackle by Spencer Johnson),6.970,5.720
Quarter,Time,Down,ToGo,Location,BUF,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,BUF 2,7,13,"Adrian Peterson right guard for 2 yards, touchdown. Penalty on Kyle Williams: Defensive Holding (Declined)",5.720,7.000
2,,,,BUF 2,7,14,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,MIN 30,7,14,"Ryan Longwell kicks off 55 yards, returned by Leodis McKelvin for 5 yards (tackle by Eric Frampton)",0.000,0.280
2,14:52,1,10,BUF 20,7,14,C.J. Spiller left end for 2 yards (tackle by E.J. Henderson),0.280,0.000
2,14:10,2,8,BUF 22,7,14,Ryan Fitzpatrick pass complete short right to David Martin for no gain,0.000,-0.690
2,13:25,3,8,BUF 22,7,14,Ryan Fitzpatrick pass incomplete,-0.690,-1.900
2,13:20,4,8,BUF 22,7,14,"Brian Moorman punts 55 yards, returned by Greg Camarillo for 17 yards (tackle by Naaman Roosevelt)",-1.900,-1.600
2,13:07,1,10,MIN 40,7,14,Tarvaris Jackson pass complete short middle to Visanthe Shiancoe for 15 yards (tackle by Paul Posluszny),1.600,2.590
2,12:35,1,10,BUF 45,7,14,Adrian Peterson right end for 2 yards (tackle by Leodis McKelvin),2.590,2.310
2,11:55,2,8,BUF 43,7,14,"Tarvaris Jackson right end for 13 yards (tackle by Arthur Moats and Akin Ayodele). Penalty on Donte Whitner: Unnecessary Roughness, 15 yards",2.310,4.580
2,11:18,1,10,BUF 15,7,14,Tarvaris Jackson pass complete short right to Jim Kleinsasser for 12 yards (tackle by Donte Whitner),4.580,6.510
2,11:04,1,3,BUF 3,7,20,"Adrian Peterson left guard for 3 yards, touchdown",6.510,7.000
2,,,,BUF 2,7,21,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,MIN 30,7,21,"Ryan Longwell kicks off 55 yards, muffed catch by Leodis McKelvin, recovered by Leodis McKelvin at BUF-20, and returned for 5 yards",0.000,0.610
2,10:56,1,10,BUF 25,7,21,Fred Jackson right end for 12 yards (tackle by Husain Abdullah),0.610,1.400
2,10:27,1,10,BUF 37,7,21,Fred Jackson right end for 2 yards (tackle by Madieu Williams and Brian Robison),1.400,1.130
2,9:44,2,8,BUF 39,7,21,Ryan Fitzpatrick pass complete short left to C.J. Spiller for -3 yards (tackle by E.J. Henderson),1.130,0.040
2,8:59,3,11,BUF 36,7,21,Ryan Fitzpatrick pass incomplete short middle intended for Steve Johnson is intercepted by Antoine Winfield at BUF-46 and returned for 41 yards,0.040,-6.060
2,8:47,1,5,BUF 5,7,21,Toby Gerhart right guard for -1 yards (tackle by Spencer Johnson),6.060,4.950
2,8:07,2,6,BUF 6,7,27,"Tarvaris Jackson pass complete short right to Sidney Rice for 6 yards, touchdown",4.950,7.000
2,,,,BUF 2,7,28,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,MIN 30,7,28,"Ryan Longwell kicks off 59 yards, returned by C.J. Spiller for 17 yards (tackle by Kenny Onatolu)",0.000,0.810
2,7:56,1,10,BUF 28,7,28,C.J. Spiller right tackle for -1 yards (tackle by Kevin Williams),0.810,0.130
2,7:08,2,11,BUF 27,7,28,Ryan Fitzpatrick middle for 4 yards (tackle by Chad Greenway),0.130,-0.030
2,6:19,3,7,BUF 31,7,28,"Penalty on Demetress Bell: False Start, 5 yards (no play)",-0.030,-0.690
2,5:55,3,12,BUF 26,7,28,Ryan Fitzpatrick pass complete short left to David Nelson for 4 yards (tackle by Ben Leber),-0.690,-1.370
2,5:19,4,8,BUF 30,7,28,"Brian Moorman punts 55 yards, returned by Greg Camarillo for 3 yards (tackle by Donald Jones)",-1.370,-0.040
2,5:08,1,10,MIN 18,7,28,Adrian Peterson right guard for 13 yards (tackle by Jairus Byrd),0.040,1.000
2,4:30,1,10,MIN 31,7,28,Tarvaris Jackson pass incomplete short right intended for Bernard Berrian,1.000,0.460
2,4:26,2,10,MIN 31,7,28,Tarvaris Jackson pass complete short left to Greg Camarillo for 20 yards (tackle by Paul Posluszny),0.460,2.320
2,3:44,1,10,BUF 49,7,28,Adrian Peterson middle for 6 yards (tackle by Donte Whitner),2.320,2.590
2,3:05,2,4,BUF 43,7,28,Adrian Peterson right guard for 9 yards (tackle by Akin Ayodele),2.590,3.310
2,2:20,1,10,BUF 34,7,28,Tarvaris Jackson pass incomplete short right intended for Toby Gerhart (defended by Akin Ayodele),3.310,2.770
2,2:12,2,10,BUF 34,7,28,Toby Gerhart middle for 8 yards (tackle by Donte Whitner),2.770,3.140
2,2:00,3,2,BUF 26,7,28,Adrian Peterson right guard for 6 yards (tackle by Paul Posluszny and Kyle Williams),3.140,4.240
2,1:23,1,10,BUF 20,7,28,Tarvaris Jackson pass incomplete short right intended for Visanthe Shiancoe,4.240,3.690
2,1:17,2,10,BUF 20,7,28,Toby Gerhart left tackle for 2 yards (tackle by Spencer Johnson and John McCargo),3.690,3.220
2,0:32,3,8,BUF 18,7,28,Tarvaris Jackson pass complete short right to Toby Gerhart for -2 yards (tackle by Paul Posluszny),3.220,2.120
2,0:01,,,,7,28,Timeout #1 by Minnesota Vikings,0.000,2.120
2,0:01,4,10,BUF 20,7,31,Ryan Longwell 38 yard field goal good,2.120,3.000
Quarter,Time,Down,ToGo,Location,BUF,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,7,31,"Ryan Longwell kicks off 66 yards, returned by C.J. Spiller for 14 yards (tackle by Eric Frampton)",0.000,0.040
3,14:54,1,10,BUF 18,7,31,Ryan Fitzpatrick pass incomplete deep right intended for Lee Evans (defended by Frank Walker),0.040,-0.490
3,14:50,2,10,BUF 18,7,31,Fred Jackson middle for 2 yards (tackle by Pat Williams and Jared Allen),-0.490,-0.910
3,14:07,3,8,BUF 20,7,31,Ryan Fitzpatrick pass complete short right to Fred Jackson for 6 yards (tackle by Chad Greenway),-0.910,-1.630
3,13:26,4,2,BUF 26,7,31,"Brian Moorman punts 45 yards, returned by Greg Camarillo for 5 yards (tackle by Arthur Moats)",-1.630,-1.200
3,13:14,1,10,MIN 34,7,31,Tarvaris Jackson pass complete short left to Adrian Peterson for 1 yard (tackle by Akin Ayodele),1.200,0.790
3,12:39,2,9,MIN 35,7,31,Adrian Peterson left tackle for 5 yards (tackle by Paul Posluszny and Leodis McKelvin),0.790,0.760
3,11:58,3,4,MIN 40,7,31,Tarvaris Jackson pass incomplete short middle intended for Greg Camarillo is intercepted by Leodis McKelvin at BUF-47,0.760,-2.060
3,11:52,1,10,BUF 47,7,31,"Penalty on Kevin Williams: Neutral Zone Infraction, 5 yards (no play)",2.060,2.790
3,11:52,1,5,MIN 48,7,31,"Fred Jackson middle for 4 yards (tackle by Brian Robison and Jared Allen). Penalty on Andy Levitre: Unnecessary Roughness, 14 yards",2.790,0.840
3,11:18,2,15,BUF 42,7,31,Ryan Fitzpatrick pass complete deep middle to Lee Evans for 23 yards (tackle by E.J. Henderson),0.840,3.250
3,10:46,1,10,MIN 35,7,31,"Ryan Fitzpatrick pass complete short right to Corey McIntyre for 8 yards (tackle by Ben Leber). Corey McIntyre fumbles (forced by Ben Leber), recovered by Brian Robison at MIN-27",3.250,-0.740
3,10:40,1,10,MIN 27,7,31,Adrian Peterson left end for 4 yards (tackle by Akin Ayodele and Donte Whitner),0.740,0.740
3,10:09,2,6,MIN 31,7,31,Adrian Peterson left end for 7 yards (tackle by Paul Posluszny),0.740,1.470
3,9:48,1,10,MIN 38,7,31,Toby Gerhart middle for 6 yards (tackle by Donte Whitner),1.470,1.730
3,9:17,2,4,MIN 44,7,31,Toby Gerhart right guard for 2 yards (tackle by Paul Posluszny and Akin Ayodele),1.730,1.290
3,8:40,3,2,MIN 46,7,31,"Penalty on Visanthe Shiancoe: False Start, 5 yards (no play)",1.290,0.630
3,8:22,3,7,MIN 41,7,31,"Penalty on Chris DeGeare: False Start, 5 yards (no play)",0.630,-0.030
3,8:04,3,12,MIN 36,7,31,Toby Gerhart right guard for 9 yards (tackle by Paul Posluszny),-0.030,-0.390
3,7:28,4,3,MIN 45,7,31,"Chris Kluwe punts 55 yards, touchback. Penalty on Quinton Ganther: Unnecessary Roughness, 10 yards",-0.390,0.380
3,7:18,1,10,BUF 10,7,31,Ryan Fitzpatrick pass complete short right to C.J. Spiller for 4 yards (tackle by Chad Greenway),-0.380,-0.460
3,6:40,2,6,BUF 14,7,31,Fred Jackson left end for -1 yards (tackle by Jared Allen),-0.460,-1.070
3,5:54,3,7,BUF 13,7,31,Ryan Fitzpatrick pass complete short right to David Nelson for 12 yards (tackle by Lito Sheppard),-1.070,0.610
3,5:12,1,10,BUF 25,7,31,C.J. Spiller right end for 20 yards (tackle by Husain Abdullah),0.610,1.930
3,4:45,1,10,BUF 45,7,31,C.J. Spiller left end for 3 yards (tackle by Jimmy Kennedy),1.930,1.790
3,4:05,2,7,BUF 48,7,31,C.J. Spiller right end for 4 yards (tackle by Brian Robison and Chad Greenway),1.790,1.620
3,3:23,3,3,MIN 48,7,31,"Penalty on Mansfield Wrotto: False Start, 5 yards (no play)",1.620,0.960
3,2:58,,,,7,31,Timeout #1 by Buffalo Bills,0.000,0.960
3,2:58,3,8,BUF 47,7,31,Ryan Fitzpatrick pass incomplete deep right intended for Lee Evans,0.960,-0.260
3,2:54,4,8,BUF 47,7,31,"Brian Moorman punts 37 yards, fair catch by Greg Camarillo",-0.260,0.140
3,2:47,1,10,MIN 16,7,31,Toby Gerhart right end for 4 yards (tackle by Donte Whitner),-0.140,0.010
3,2:10,2,6,MIN 20,7,31,Toby Gerhart left guard for 4 yards (tackle by Paul Posluszny),0.010,-0.320
3,1:34,3,2,MIN 24,7,31,Toby Gerhart middle for 13 yards (tackle by Jairus Byrd),-0.320,1.400
3,0:50,1,10,MIN 37,7,31,Tarvaris Jackson pass complete short left to Sidney Rice for 9 yards (tackle by Drayton Florence),1.400,2.070
3,0:19,2,1,MIN 46,7,31,Tarvaris Jackson pass incomplete deep middle intended for Sidney Rice is intercepted by Donte Whitner at BUF-9 and returned for 37 yards,2.070,-1.990
,,,,,,,"MIN challenged the runner was down by contact ruling, and the play was upheld.",,
3,0:04,1,10,BUF 46,7,31,Ryan Fitzpatrick pass incomplete short right intended for Corey McIntyre,1.990,1.450
Quarter,Time,Down,ToGo,Location,BUF,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,BUF 46,7,31,"Ryan Fitzpatrick sacked by Jared Allen for -7 yards. Ryan Fitzpatrick fumbles (forced by Jared Allen), recovered by Brian Robison at BUF-43 (tackle by Andy Levitre)",1.450,-2.720
4,14:52,1,10,BUF 43,7,37,"Adrian Peterson middle for 43 yards, touchdown",2.720,7.000
4,,,,BUF 2,7,38,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,MIN 30,7,38,"Ryan Longwell kicks off 62 yards, returned by C.J. Spiller for 23 yards (tackle by Heath Farwell)",0.000,1.000
4,14:39,1,10,BUF 31,7,38,Fred Jackson left guard for 5 yards (tackle by Jared Allen),1.000,1.140
4,14:01,2,5,BUF 36,7,38,"Ryan Fitzpatrick for no gain. Ryan Fitzpatrick fumbles, recovered by Ryan Fitzpatrick at BUF-36",1.140,0.430
4,13:18,3,5,BUF 36,7,38,Ryan Fitzpatrick pass complete deep left to Lee Evans for 23 yards (tackle by Madieu Williams),0.430,2.850
4,12:53,1,10,MIN 41,7,38,C.J. Spiller middle for 11 yards (tackle by Husain Abdullah),2.850,3.580
4,12:13,1,10,MIN 30,7,38,C.J. Spiller right guard for -4 yards (tackle by Kevin Williams),3.580,2.490
4,11:31,2,14,MIN 34,7,38,Ryan Fitzpatrick pass complete deep left to Lee Evans for 26 yards (tackle by E.J. Henderson),2.490,5.370
4,10:43,1,8,MIN 8,7,38,Ryan Fitzpatrick pass complete short middle to Donald Jones for 1 yard (tackle by Antoine Winfield),5.370,4.760
4,10:17,2,7,MIN 7,7,38,Ryan Fitzpatrick pass complete short middle to David Nelson for 6 yards (tackle by Chad Greenway and Husain Abdullah),4.760,5.170
4,9:29,3,1,MIN 1,7,38,"Ryan Fitzpatrick for no gain. Ryan Fitzpatrick fumbles, recovered by Ben Leber at MIN-1 (tackle by Corey McIntyre)",5.170,0.380
4,9:25,1,10,MIN 1,7,38,Albert Young left guard for 5 yards (tackle by Akin Ayodele),-0.380,-0.420
4,8:45,2,5,MIN 6,7,38,Albert Young left guard for 6 yards (tackle by Kyle Williams and Donte Whitner),-0.420,-0.350
4,8:01,1,10,MIN 12,7,38,Albert Young left guard for 4 yards (tackle by Chris Kelsay),-0.350,-0.370
4,7:17,2,6,MIN 16,7,38,Albert Young left tackle for 1 yard (tackle by Paul Posluszny and Spencer Johnson),-0.370,-0.840
4,6:33,3,5,MIN 17,7,38,Albert Young left tackle for 1 yard (tackle by Bryan Scott),-0.840,-2.240
4,5:56,4,4,MIN 18,7,38,"Chris Kluwe punts 44 yards, returned by C.J. Spiller for 14 yards (tackle by Chad Greenway). Penalty on Everson Griffen: Ineligible Downfield Kic, 5 yards",-2.240,-2.720
4,5:45,1,10,MIN 43,7,38,Fred Jackson middle for 3 yards (tackle by Letroy Guion),2.720,2.580
4,5:07,2,7,MIN 40,7,38,Ryan Fitzpatrick pass incomplete deep right intended for Lee Evans,2.580,1.880
4,5:01,3,7,MIN 40,7,38,Ryan Fitzpatrick pass incomplete short middle intended for Donald Jones,1.880,0.590
4,4:57,4,7,MIN 40,7,38,Ryan Fitzpatrick pass complete deep middle to Steve Johnson for 28 yards (tackle by Husain Abdullah and Frank Walker),0.590,4.780
4,4:47,1,10,MIN 12,13,38,"Ryan Fitzpatrick pass complete short middle to David Nelson for 12 yards, touchdown",4.780,7.000
4,,,,MIN 2,14,38,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,14,38,"Rian Lindell kicks off 70 yards, touchback",0.000,0.280
4,4:43,1,10,MIN 20,14,38,Albert Young left guard for 4 yards (tackle by George Wilson),0.280,0.270
4,4:01,2,6,MIN 24,14,38,Albert Young left tackle for no gain (tackle by Akin Ayodele),0.270,-0.430
4,3:18,3,6,MIN 24,14,38,Tarvaris Jackson pass complete short right to Jim Kleinsasser for 7 yards (tackle by Paul Posluszny),-0.430,1.000
4,2:32,1,10,MIN 31,14,38,Albert Young left guard for 1 yard (tackle by Jairus Byrd),1.000,0.600
4,2:00,2,9,MIN 32,14,38,Albert Young right tackle for 3 yards (tackle by Paul Posluszny),0.600,0.300
4,1:18,3,6,MIN 35,14,38,Albert Young middle for 2 yards (tackle by Akin Ayodele),0.300,-0.910
4,0:36,4,4,MIN 37,14,38,"Chris Kluwe punts 44 yards, returned by C.J. Spiller for -2 yards (tackle by Jasper Brinkley)",-0.910,0.060
4,0:23,1,10,BUF 17,14,38,Fred Jackson middle for 5 yards (tackle by Jasper Brinkley),-0.060,0.210
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
