Quarter,Time,Tm,Detail,BUF,MIN
1.0,4:34,Bills,Drayton Florence 40 yard interception return (Rian Lindell kick),7,0
,1:45,Vikings,Sidney Rice 31 yard pass from Tarvaris Jackson (Ryan Longwell kick),7,7
2.0,14:56,Vikings,Adrian Peterson 2 yard rush (Ryan Longwell kick),7,14
,11:00,Vikings,Adrian Peterson 3 yard rush (Ryan Longwell kick),7,21
,8:00,Vikings,Sidney Rice 6 yard pass from Tarvaris Jackson (Ryan Longwell kick),7,28
,0:00,Vikings,Ryan Longwell 38 yard field goal,7,31
4.0,14:46,Vikings,Adrian Peterson 43 yard rush (Ryan Longwell kick),7,38
,4:43,Bills,David Nelson 12 yard pass from Ryan Fitzpatrick (Rian Lindell kick),14,38
