Unnamed: 0,BAL,SFO
First Downs,19,6
Rush-Yds-TDs,33-101-0,19-49-0
Cmp-Att-Yd-TD-INT,29-43-214-0-0,12-19-126-1-1
Sacked-Yards,0-0,3-12
Net Pass Yards,214,114
Total Yards,315,163
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,7-40,4-48
Third Down Conv.,7-19,3-12
Fourth Down Conv.,1-1,0-0
Time of Possession,38:00,22:00
