Quarter,Time,Down,ToGo,Location,BAL,SFO,Detail,EPB,EPA
2,14:55,3,11,BAL 35,0,0,Steve McNair pass complete short left to Demetrius Williams for 6 yards (tackle by Michael Lewis),-0.030,-0.650
2,14:17,4,5,BAL 41,0,0,"Sam Koch punts 46 yards (tackle by Derrick Martin). Penalty on Donald Strickland: Illegal Block Above the Waist, 6 yards",-0.650,0.380
2,14:07,1,10,SFO 6,0,0,Trent Dilfer pass incomplete short left intended for Frank Gore,-0.380,-0.780
2,14:03,2,10,SFO 6,0,0,Frank Gore up the middle for 3 yards (tackle by Kelly Gregg and Terrell Suggs),-0.780,-1.070
2,13:24,3,7,SFO 9,0,0,Frank Gore up the middle for 10 yards (tackle by Ed Reed). Penalty on Antwan Barnes: Defensive Offside (Declined),-1.070,0.150
2,13:05,1,10,SFO 19,0,0,"Trent Dilfer sacked by Jarret Johnson for -6 yards. Trent Dilfer fumbles (forced by Jarret Johnson), recovered by Trent Dilfer at SFO-13",0.150,-1.210
2,12:24,2,16,SFO 13,0,0,Trent Dilfer pass complete short left to Frank Gore for 4 yards (tackle by Corey Ivy),-1.210,-1.420
2,11:42,3,12,SFO 17,0,0,Trent Dilfer pass complete short left to Arnaz Battle for 4 yards (tackle by Derrick Martin),-1.420,-1.960
2,11:09,4,8,SFO 21,0,0,"Andy Lee punts 54 yards, returned by Cory Ross for 3 yards (tackle by Marcus Hudson)",-1.960,-0.810
2,10:55,1,10,BAL 28,0,0,Willis McGahee left end for 1 yard (tackle by Michael Lewis),0.810,0.400
2,10:25,2,9,BAL 29,0,0,Steve McNair pass complete short right to Quinn Sypniewski for 3 yards (tackle by Walt Harris),0.400,0.100
2,9:43,3,6,BAL 32,0,0,Steve McNair pass complete short middle to Quinn Sypniewski for 7 yards (tackle by Brandon T. Moore),0.100,1.530
2,9:14,1,10,BAL 39,0,0,Steve McNair pass complete short right to Derrick Mason for 15 yards (tackle by Nate Clements),1.530,2.520
2,8:33,1,10,SFO 46,0,0,Willis McGahee right end for 1 yard (tackle by Marques Douglas),2.520,2.110
2,7:50,2,9,SFO 45,0,0,Steve McNair pass complete short middle to Willis McGahee for 11 yards (tackle by Aubrayo Franklin),2.110,3.310
2,7:11,1,10,SFO 34,0,0,Willis McGahee left tackle for 6 yards (tackle by Walt Harris and Michael Lewis),3.310,3.580
2,6:31,2,4,SFO 28,0,0,Willis McGahee left guard for 5 yards (tackle by Michael Lewis),3.580,4.040
2,5:53,1,10,SFO 23,0,0,Musa Smith left tackle for 2 yards (tackle by Marques Douglas and Isaac Sopoaga),4.040,3.770
2,5:14,2,8,SFO 21,0,0,Steve McNair pass complete short right to Quinn Sypniewski for 12 yards (tackle by Michael Lewis),3.770,5.140
2,4:31,1,9,SFO 9,0,0,Willis McGahee up the middle for -1 yards (tackle by Mark Roman and Tully Banta-Cain),5.140,4.190
2,4:09,2,10,SFO 10,0,0,(tackle by Walt Harris),4.190,3.120
2,3:26,3,11,SFO 11,0,0,Steve McNair pass complete short middle to Willis McGahee for 3 yards (tackle by Marques Douglas),3.120,2.950
2,2:48,4,8,SFO 8,3,0,Matt Stover 26 yard field goal good,2.950,3.000
2,,,,BAL 30,3,0,"Matt Stover kicks off 67 yards, returned by Maurice Hicks for 29 yards (tackle by Derrick Martin)",0.000,1.070
2,2:36,1,10,SFO 32,3,0,Trent Dilfer pass incomplete short right intended for Arnaz Battle,1.070,0.530
2,2:30,2,10,SFO 32,3,0,Frank Gore right guard for 3 yards (tackle by Terrell Suggs and Justin Bannan),0.530,0.230
2,2:00,3,7,SFO 35,3,0,Trent Dilfer pass incomplete short right intended for Frank Gore,0.230,-1.040
2,1:55,4,7,SFO 35,3,0,Andy Lee punts 36 yards,-1.040,-0.870
2,1:47,1,10,BAL 29,3,0,Willis McGahee right tackle for 9 yards (tackle by Patrick Willis),0.870,1.540
2,1:26,2,1,BAL 38,3,0,Willis McGahee right guard for 12 yards (tackle by Mark Roman and Michael Lewis),1.540,2.260
2,1:18,,,,3,0,Timeout #1 by Baltimore Ravens,0.000,2.260
2,1:18,1,10,,3,0,Steve McNair pass incomplete short middle intended for Quinn Sypniewski (defended by Marcus Hudson),2.260,1.710
2,1:15,2,10,,3,0,Steve McNair pass complete short right to Derrick Mason for 10 yards (tackle by Marcus Hudson),1.710,2.920
2,1:09,1,10,SFO 40,3,0,Musa Smith right tackle for no gain (tackle by Brandon T. Moore),2.920,2.370
2,0:49,2,10,SFO 40,3,0,Steve McNair pass complete short left to Derrick Mason for 7 yards (tackle by Patrick Willis),2.370,2.610
2,0:42,,,,3,0,Timeout #2 by Baltimore Ravens,0.000,2.610
2,0:42,3,3,SFO 33,3,0,Steve McNair pass complete short right to Demetrius Williams for 11 yards (tackle by Michael Lewis),2.610,4.110
2,0:37,1,10,SFO 22,3,0,Steve McNair pass complete short right to Mark Clayton for 5 yards (tackle by Nate Clements),4.110,4.290
2,0:33,2,5,SFO 17,3,0,Steve McNair pass complete short middle to Musa Smith for 4 yards (tackle by Patrick Willis),4.290,4.390
2,0:16,,,,3,0,Timeout #3 by Baltimore Ravens,0.000,4.390
2,0:16,3,1,SFO 13,3,0,Steve McNair pass incomplete short middle intended for Quinn Sypniewski,4.390,2.720
2,0:10,,,,3,0,Timeout #1 by San Francisco 49ers,0.000,2.720
2,0:10,4,1,SFO 13,6,0,Matt Stover 32 yard field goal good,2.720,3.000
2,,,,BAL 30,6,0,"Matt Stover kicks off 60 yards, returned by Maurice Hicks for 19 yards (tackle by Nick Greisen)",0.000,0.940
Quarter,Time,Down,ToGo,Location,BAL,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 30,6,0,"Matt Stover kicks off 69 yards, returned by Maurice Hicks for 28 yards (tackle by Gerome Sapp)",0.000,0.870
3,14:53,1,10,SFO 29,6,0,Trent Dilfer pass complete short right to Arnaz Battle for 9 yards (tackle by Chris McAlister),0.870,1.540
3,14:22,2,1,SFO 38,6,0,Frank Gore right end for -1 yards (tackle by Jarret Johnson),1.540,0.700
3,13:44,3,2,SFO 37,6,0,Trent Dilfer pass complete short right to Darrell Jackson for 3 yards (tackle by Ray Lewis),0.700,1.600
3,12:55,,,,6,0,Timeout #1 by San Francisco 49ers,0.000,1.600
3,12:55,1,10,SFO 40,6,0,Frank Gore up the middle for 3 yards (tackle by Bart Scott and Haloti Ngata),1.600,1.460
3,12:18,2,7,SFO 43,6,0,Trent Dilfer pass complete short right to Frank Gore for no gain,1.460,0.760
3,11:37,3,7,SFO 43,6,0,"Trent Dilfer pass incomplete short left intended for Bryan Gilmore is intercepted by Ed Reed at BAL-42 and returned for 21 yards (tackle by Delanie Walker). Penalty on Ed Reed: Delay of Game, 5 yards",0.760,-2.790
3,11:26,1,10,SFO 42,6,0,Willis McGahee right guard for 2 yards (tackle by Hannibal Navies),2.790,2.510
3,10:45,2,8,SFO 40,6,0,Steve McNair pass incomplete short left intended for Derrick Mason (defended by Mark Roman),2.510,1.820
3,10:41,,,,6,0,Timeout #1 by Baltimore Ravens,0.000,1.820
3,10:41,3,8,SFO 40,6,0,Steve McNair pass complete short right to Derrick Mason for 7 yards (tackle by Nate Clements),1.820,1.210
3,9:57,4,1,SFO 33,6,0,Steve McNair up the middle for 3 yards (tackle by Marques Douglas),1.210,3.580
3,9:15,1,10,SFO 30,6,0,Steve McNair pass incomplete deep middle intended for Demetrius Williams,3.580,3.030
3,9:09,2,10,SFO 30,6,0,Willis McGahee left end for -1 yards (tackle by Patrick Willis),3.030,2.210
3,8:24,3,11,SFO 31,6,0,Steve McNair pass incomplete short left intended for Demetrius Williams,2.210,1.320
3,8:17,4,11,SFO 31,9,0,Matt Stover 49 yard field goal good,1.320,3.000
3,,,,BAL 30,9,0,"Matt Stover kicks off 67 yards, returned by Maurice Hicks for 28 yards (tackle by Justin Green)",0.000,1.000
3,8:05,1,10,SFO 31,9,0,Trent Dilfer pass complete short middle to Darrell Jackson for 3 yards (tackle by Ray Lewis),1.000,0.870
3,7:29,2,7,SFO 34,9,0,Frank Gore up the middle for 1 yard (tackle by Kelly Gregg),0.870,0.300
3,6:44,3,6,SFO 35,9,0,Trent Dilfer pass complete deep left to Bryan Gilmore for 42 yards (tackle by Derrick Martin). Penalty on Derrick Martin: Illegal Contact (Declined),0.300,4.040
3,6:19,1,10,BAL 23,9,6,"Trent Dilfer pass complete deep middle to Arnaz Battle for 23 yards, touchdown",4.040,7.000
3,,,,BAL 2,9,7,Joe Nedney kicks extra point good,0.000,0.000
3,,,,SFO 30,9,7,"Joe Nedney kicks off 68 yards, returned by Cory Ross for 18 yards (tackle by Marcus Hudson)",0.000,0.280
3,6:09,1,10,BAL 20,9,7,Steve McNair pass complete short right to Willis McGahee for 2 yards (tackle by Mark Roman),0.280,0.000
3,5:33,2,8,BAL 22,9,7,Willis McGahee right end for 3 yards (tackle by Derek Smith and Ronald Fields),0.000,-0.300
3,4:50,3,5,BAL 25,9,7,Steve McNair pass incomplete short right intended for Mark Clayton,-0.300,-1.700
3,4:46,4,5,BAL 25,9,7,Sam Koch punts 47 yards (tackle by Derrick Martin),-1.700,-1.200
3,4:37,1,10,SFO 34,9,7,Trent Dilfer sacked by Kelly Gregg for -4 yards,1.200,0.120
3,4:11,2,14,SFO 30,9,7,Trent Dilfer pass incomplete short left intended for Darrell Jackson,0.120,-0.560
3,4:06,3,14,SFO 30,9,7,Trent Dilfer pass complete short middle to Michael Robinson for no gain,-0.560,-1.370
3,3:33,4,14,SFO 30,9,7,"Andy Lee punts 49 yards, returned by Ed Reed for 17 yards (tackle by Brian Jennings)",-1.370,-1.470
3,3:21,1,10,BAL 38,9,7,Willis McGahee left guard for 6 yards (tackle by Nate Clements),1.470,1.730
3,2:15,2,4,BAL 44,9,7,Willis McGahee left tackle for -1 yards (tackle by Walt Harris),1.730,0.890
3,2:01,3,5,BAL 43,9,7,Steve McNair pass incomplete short right intended for Derrick Mason,0.890,-0.520
3,1:56,4,5,BAL 43,9,7,Sam Koch punts 38 yards,-0.520,-0.150
3,1:47,1,10,SFO 19,9,7,Frank Gore up the middle for 4 yards (tackle by Ray Lewis),0.150,0.210
3,1:13,2,6,SFO 23,9,7,Trent Dilfer up the middle for 4 yards (tackle by Haloti Ngata),0.210,-0.030
3,0:29,3,2,SFO 27,9,7,Bryan Gilmore left end for -8 yards (tackle by Terrell Suggs and Bart Scott),-0.030,-2.140
Quarter,Time,Down,ToGo,Location,BAL,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,10,SFO 19,9,7,Andy Lee punts 64 yards,-2.140,0.060
4,14:48,1,10,BAL 17,9,7,"Steve McNair pass incomplete short right intended for Quinn Sypniewski. Penalty on Ben Grubbs: Offensive Holding (Offsetting), Penalty on Nate Clements: Defensive Pass Interference (Offsetting) (no play)",-0.060,-0.060
4,14:44,1,10,BAL 17,9,7,Willis McGahee left tackle for 2 yards (tackle by Derek Smith),-0.060,-0.250
4,14:10,2,8,BAL 19,9,7,Steve McNair pass complete short left to Derrick Mason for 6 yards (tackle by Shawntae Spencer),-0.250,-0.240
4,13:31,3,2,BAL 25,9,7,Steve McNair pass complete short right to Demetrius Williams for 14 yards (tackle by Nate Clements),-0.240,1.530
4,13:09,1,10,BAL 39,9,7,"Willis McGahee right end for 8 yards (tackle by Michael Lewis). Penalty on Le'Ron McClain: Offensive Holding (Declined), Penalty on Derrick Mason: Offensive Holding, 10 yards (no play)",1.530,0.870
4,12:46,1,20,BAL 29,9,7,Steve McNair pass complete short middle to Willis McGahee for 5 yards (tackle by Derek Smith),0.870,0.310
4,12:06,2,15,BAL 34,9,7,Steve McNair pass complete short right to Willis McGahee for 12 yards (tackle by Hannibal Navies),0.310,1.220
4,11:32,3,3,BAL 46,9,7,"Penalty on Steve McNair: Delay of Game, 5 yards (no play)",1.220,0.560
4,11:01,3,8,BAL 41,9,7,"Steve McNair pass complete short middle to Derrick Mason for 9 yards (tackle by Marcus Hudson). Penalty on Derrick Mason: Delay of Game, 5 yards",0.560,1.930
4,10:35,1,10,BAL 45,9,7,Musa Smith up the middle for no gain (tackle by Patrick Willis and Marques Douglas),1.930,1.380
4,9:54,2,10,BAL 45,9,7,Steve McNair pass incomplete deep left intended for Demetrius Williams,1.380,0.700
4,9:46,3,10,BAL 45,9,7,Steve McNair pass complete short middle to Demetrius Williams for 8 yards (tackle by Marcus Hudson),0.700,0.130
4,9:07,4,2,SFO 47,9,7,"Sam Koch punts 31 yards. Penalty on Brandon T. Moore: Running Into the Kicker, 5 yards (no play)",0.130,2.790
4,8:57,1,10,SFO 42,9,7,Steve McNair pass complete short right to Derrick Mason for 2 yards (tackle by Derek Smith),2.790,2.510
4,8:19,2,8,SFO 40,9,7,Willis McGahee left tackle for no gain (tackle by Michael Lewis and Derek Smith),2.510,1.820
4,7:37,3,8,SFO 40,9,7,"Penalty on Jared Gaither: False Start, 5 yards (no play)",1.820,1.160
4,7:17,3,13,SFO 45,9,7,Steve McNair pass complete short middle to Derrick Mason for 5 yards (tackle by Marcus Hudson),1.160,0.590
4,6:30,4,8,SFO 40,9,7,"Sam Koch punts 40 yards, touchback",0.590,-0.280
4,6:22,1,10,SFO 20,9,7,Trent Dilfer pass complete short right to Moran Norris for 6 yards (tackle by Dawan Landry),0.280,0.540
4,5:47,2,4,SFO 26,9,7,Trent Dilfer pass complete short right to Moran Norris for 13 yards (tackle by Gerome Sapp),0.540,1.530
4,5:22,1,10,SFO 39,9,7,Frank Gore up the middle for 5 yards (tackle by Kelly Gregg),1.530,1.660
4,4:47,2,5,SFO 44,9,7,Trent Dilfer pass complete short middle to Frank Gore for 19 yards (tackle by Gerome Sapp),1.660,3.120
4,4:05,1,10,BAL 37,9,7,Frank Gore up the middle for 1 yard (tackle by Dwan Edwards and Haloti Ngata),3.120,2.710
4,3:25,2,9,BAL 36,9,7,Trent Dilfer pass incomplete short left intended for Moran Norris,2.710,2.010
4,3:20,3,9,BAL 36,9,7,Frank Gore up the middle for 2 yards (tackle by Haloti Ngata),2.010,1.060
4,2:44,4,7,BAL 34,9,7,Joe Nedney 52 yard field goal no good,1.060,-1.730
4,2:37,1,10,BAL 42,9,7,Willis McGahee left guard for 6 yards (tackle by Tully Banta-Cain),1.730,2.000
4,2:32,,,,9,7,Timeout #2 by San Francisco 49ers,0.000,2.000
4,2:32,2,4,BAL 48,9,7,Steve McNair pass incomplete short left intended for Demetrius Williams (defended by Walt Harris),2.000,1.290
4,2:26,3,4,BAL 48,9,7,Steve McNair pass complete short middle to Derrick Mason for 18 yards (tackle by Walt Harris),1.290,3.310
4,2:00,1,10,SFO 34,9,7,Willis McGahee left guard for no gain (tackle by Derek Smith and Patrick Willis),3.310,2.770
4,1:47,,,,9,7,Timeout #3 by San Francisco 49ers,0.000,2.770
4,1:47,2,10,SFO 34,9,7,Willis McGahee left end for 9 yards (tackle by Michael Lewis),2.770,3.270
4,1:00,,,,9,7,Timeout #2 by Baltimore Ravens,0.000,3.270
4,1:00,3,1,SFO 25,9,7,Steve McNair up the middle for 1 yard (tackle by Aubrayo Franklin),3.270,3.970
4,0:17,,,,9,7,Timeout #3 by Baltimore Ravens,0.000,3.970
4,0:17,1,10,SFO 24,9,7,Steve McNair kneels for -1 yards,3.970,3.300
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
