Quarter,Time,Tm,Detail,BAL,SFO
2.0,2:44,Ravens,Matt Stover 26 yard field goal,3,0
,0:07,Ravens,Matt Stover 32 yard field goal,6,0
3.0,8:12,Ravens,Matt Stover 49 yard field goal,9,0
,6:14,49ers,Arnaz Battle 23 yard pass from Trent Dilfer (Joe Nedney kick),9,7
