Unnamed: 0,ATL,NYG
First Downs,25,19
Rush-Yds-TDs,22-56-2,23-97-0
Cmp-Att-Yd-TD-INT,30-46-363-1-0,27-40-292-2-0
Sacked-Yards,2-17,2-1
Net Pass Yards,346,291
Total Yards,402,388
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,6-65,6-35
Third Down Conv.,11-17,10-17
Fourth Down Conv.,0-0,0-1
Time of Possession,31:35,28:25
