Unnamed: 0,SFO,HOU
First Downs,20,18
Rush-Yds-TDs,31-102-1,23-90-0
Cmp-Att-Yd-TD-INT,20-33-334-1-1,20-38-238-2-0
Sacked-Yards,2-20,3-17
Net Pass Yards,314,221
Total Yards,416,311
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,11-87,8-81
Third Down Conv.,2-11,3-13
Fourth Down Conv.,0-0,1-2
Time of Possession,34:49,25:11
