Quarter,Time,Tm,Detail,SEA,ARI
1,11:59,Seahawks,Tyler Lockett 3 yard pass from Russell Wilson (Jason Myers kick),7,0
,6:35,Seahawks,Jason Myers 41 yard field goal,10,0
,2:39,Cardinals,DeAndre Hopkins 35 yard pass from Kyler Murray (Zane Gonzalez kick),10,7
2,12:50,Seahawks,Jason Myers 44 yard field goal,13,7
,4:04,Seahawks,Carlos Hyde 24 yard rush (Jason Myers kick),20,7
,1:14,Cardinals,Christian Kirk 7 yard pass from Kyler Murray (Zane Gonzalez kick),20,14
,0:43,Seahawks,Tyler Lockett 47 yard pass from Russell Wilson (Jason Myers kick),27,14
,0:00,Cardinals,Zane Gonzalez 49 yard field goal,27,17
3,2:59,Cardinals,Kyler Murray 5 yard rush (Zane Gonzalez kick),27,24
4,6:44,Seahawks,Tyler Lockett 3 yard pass from Russell Wilson (Jason Myers kick),34,24
,2:28,Cardinals,Christian Kirk 8 yard pass from Kyler Murray (Zane Gonzalez kick),34,31
,10:00,Cardinals,Zane Gonzalez 44 yard field goal,34,34
OT,0:15,Cardinals,Zane Gonzalez 48 yard field goal,34,37
