Unnamed: 0,SEA,ARI
First Downs,33,31
Rush-Yds-TDs,30-200-1,33-159-1
Cmp-Att-Yd-TD-INT,33-50-388-3-3,34-48-360-3-1
Sacked-Yards,2-16,0-0
Net Pass Yards,372,360
Total Yards,572,519
Fumbles-Lost,0-0,3-1
Turnovers,3,2
Penalties-Yards,8-78,6-40
Third Down Conv.,5-13,5-12
Fourth Down Conv.,1-1,1-2
Time of Possession,39:32,30:13
