#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,TAM 19,4,2:24,37,Fumble
2,1,8:44,TAM 20,3,2:09,9,Punt
3,1,0:18,TAM 20,3,1:20,8,Punt
4,2,10:31,TAM 24,3,1:57,0,Punt
5,2,4:42,TAM 25,3,1:50,2,Punt
6,2,0:20,TAM 29,1,0:20,-1,End of Half
7,3,6:38,TAM 25,12,6:15,75,Touchdown
8,4,10:00,TAM 20,10,4:12,36,Downs
9,4,3:28,TAM 20,4,1:34,-2,Downs
