Quarter,Time,Tm,Detail,DAL,TAM
1.0,8:44,Cowboys,Miles Austin 8 yard pass from Tony Romo (Dan Bailey kick),7,0
,0:18,Cowboys,Dez Bryant 8 yard pass from Tony Romo (Dan Bailey kick),14,0
2.0,4:42,Cowboys,Laurent Robinson 9 yard pass from Tony Romo (Dan Bailey kick),21,0
,0:20,Cowboys,Tony Romo 1 yard rush (Dan Bailey kick),28,0
3.0,13:39,Buccaneers,Dekoda Watson 7 yard defensive fumble return (Connor Barth kick),28,7
,6:38,Cowboys,Dan Bailey 30 yard field goal,31,7
,0:23,Buccaneers,Dezmon Briscoe 13 yard pass from Josh Freeman (Kellen Winslow pass from Josh Freeman),31,15
