Unnamed: 0,DAL,TAM
First Downs,28,7
Rush-Yds-TDs,37-160-1,13-58-0
Cmp-Att-Yd-TD-INT,23-30-249-3-0,17-27-148-1-0
Sacked-Yards,2-10,3-16
Net Pass Yards,239,132
Total Yards,399,190
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,2-15,6-46
Third Down Conv.,7-13,5-12
Fourth Down Conv.,1-1,1-3
Time of Possession,37:59,22:01
