Unnamed: 0,CIN,HOU
First Downs,15,17
Rush-Yds-TDs,19-50-0,24-95-1
Cmp-Att-Yd-TD-INT,28-41-268-1-1,18-29-176-0-0
Sacked-Yards,3-24,4-21
Net Pass Yards,244,155
Total Yards,294,250
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,6-60,3-25
Third Down Conv.,7-16,4-14
Fourth Down Conv.,1-1,0-0
Time of Possession,28:54,31:06
