Quarter,Time,Down,ToGo,Location,CIN,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Nick Novak kicks off 59 yards, returned by Alex Erickson for 35 yards (tackle by Robert Nelson)",0.000,-1.660
1,14:53,1,10,CIN 41,0,0,Jeremy Hill right end for 2 yards (tackle by Benardrick McKinney),1.660,1.390
1,14:16,2,8,CIN 43,0,0,Jeremy Hill right guard for -3 yards (tackle by Kareem Jackson and Brian Cushing),1.390,0.300
1,13:29,3,11,CIN 40,0,0,Andy Dalton pass incomplete short right intended for Cody Core,0.300,-0.720
1,13:23,4,11,CIN 40,0,0,"Kevin Huber punts 37 yards, fair catch by Tyler Ervin",-0.720,-0.480
1,13:15,1,10,HOU 23,0,0,Alfred Blue middle for 3 yards (tackle by Geno Atkins and Vincent Rey),0.480,0.340
1,12:44,2,7,HOU 26,0,0,Tom Savage pass complete short left to Will Fuller for 6 yards,0.340,0.430
1,12:19,3,1,HOU 32,0,0,Jay Prosch middle for 5 yards (tackle by Nick Vigil),0.430,1.400
1,11:39,1,10,HOU 37,0,0,Tom Savage pass incomplete short right intended for C.J. Fiedorowicz,1.400,0.860
1,11:30,2,10,HOU 37,0,0,Alfred Blue middle for 4 yards (tackle by Will Clarke and George Iloka),0.860,0.700
1,10:47,3,6,HOU 41,0,0,Tom Savage sacked by Wallace Gilberry and Michael Johnson for -5 yards,0.700,-0.980
1,10:15,4,11,HOU 36,0,0,"Shane Lechler punts 55 yards, returned by Alex Erickson for 7 yards (tackle by Jay Prosch)",-0.980,0.140
1,10:01,1,10,CIN 16,0,0,Andy Dalton pass complete short right to Brandon LaFell for 9 yards,-0.140,0.690
1,9:24,2,1,CIN 25,0,0,Jeremy Hill left guard for 4 yards (tackle by Jadeveon Clowney and Christian Covington),0.690,0.870
1,8:47,1,10,CIN 29,0,0,Andy Dalton pass complete short right to Cody Core for -1 yards (tackle by Kareem Jackson),0.870,0.190
1,8:14,2,11,CIN 28,0,0,Andy Dalton pass complete short middle to Ryan Hewitt for 8 yards (tackle by Benardrick McKinney),0.190,0.560
1,7:29,3,3,CIN 36,0,0,Andy Dalton pass incomplete short left intended for Cody Core (defended by A.J. Bouye),0.560,-0.980
1,7:25,4,3,CIN 36,0,0,"Kevin Huber punts 49 yards, returned by Tyler Ervin for 7 yards (tackle by Josh Shaw)",-0.980,-0.410
1,7:16,1,10,HOU 22,0,0,Tom Savage sacked by Geno Atkins for -7 yards,0.410,-1.210
1,6:32,2,17,HOU 15,0,0,Tom Savage sacked by Wallace Gilberry for -6 yards. Penalty on Chris Clark: Offensive Holding (Declined),-1.210,-2.940
1,6:02,3,23,HOU 9,0,0,Akeem Hunt middle for 6 yards (tackle by Wallace Gilberry),-2.940,-2.440
1,5:31,4,17,HOU 15,0,0,"Shane Lechler punts 41 yards, returned by Adam Jones for -1 yards (tackle by Akeem Dent)",-2.440,-1.800
1,5:19,1,10,CIN 43,0,0,Rex Burkhead left tackle for 2 yards (tackle by Benardrick McKinney),1.800,1.520
1,4:45,2,8,CIN 45,0,0,Andy Dalton pass complete short right to Cody Core for 7 yards (tackle by Corey Moore and Quintin Demps),1.520,1.750
1,4:01,3,1,HOU 48,0,0,Rex Burkhead middle for 2 yards (tackle by Corey Moore),1.750,2.520
1,3:22,1,10,HOU 46,0,0,Andy Dalton pass incomplete short middle intended for Cody Core (defended by A.J. Bouye),2.520,1.980
1,3:16,2,10,HOU 46,0,0,Andy Dalton pass complete short right to Cody Core for 2 yards,1.980,1.550
1,2:47,3,8,HOU 44,0,0,Andy Dalton pass incomplete deep left intended for Tyler Boyd,1.550,0.330
1,2:41,4,8,HOU 44,0,0,"Kevin Huber punts 31 yards, fair catch by Tyler Ervin",0.330,0.320
1,2:33,1,10,HOU 13,0,0,Alfred Blue left tackle for 1 yard (tackle by Domata Peko and Karlos Dansby),-0.320,-0.680
1,2:01,2,9,HOU 14,0,0,Alfred Blue left guard for 6 yards (tackle by Karlos Dansby and Pat Sims),-0.680,-0.590
1,1:20,3,3,HOU 20,0,0,Tom Savage pass incomplete short middle intended for Will Fuller (defended by Dre Kirkpatrick),-0.590,-2.030
1,1:15,4,3,HOU 20,0,0,"Shane Lechler punts 52 yards, muffed catch by Alex Erickson, recovered by Alex Erickson and returned for no gain",-2.030,-0.810
1,1:05,1,10,CIN 28,0,0,Jeremy Hill left tackle for 2 yards (tackle by Benardrick McKinney and Christian Covington),0.810,0.530
1,0:19,2,8,CIN 30,0,0,Jeremy Hill right tackle for -2 yards (tackle by Vince Wilfork),0.530,-0.430
Quarter,Time,Down,ToGo,Location,CIN,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,10,CIN 28,0,0,Andy Dalton pass complete short left to Cody Core for 6 yards (tackle by Kareem Jackson and Quintin Demps),-0.430,-1.110
2,14:22,4,4,CIN 34,0,0,"Kevin Huber punts 48 yards, fair catch by Tyler Ervin",-1.110,-0.040
2,14:13,1,10,HOU 18,0,0,Alfred Blue middle for 3 yards (tackle by Domata Peko and Karlos Dansby),0.040,0.010
2,13:40,2,7,HOU 21,0,0,Alfred Blue right guard for 3 yards (tackle by Vincent Rey),0.010,-0.400
2,12:58,3,4,HOU 24,0,0,Tom Savage pass incomplete short left intended for C.J. Fiedorowicz,-0.400,-1.770
2,12:52,4,4,HOU 24,0,0,"Shane Lechler punts 44 yards, returned by Alex Erickson for -4 yards (tackle by Don Jones)",-1.770,-0.810
2,12:40,1,10,CIN 28,0,0,Andy Dalton pass incomplete short left intended for Cody Core,0.810,0.260
2,12:36,2,10,CIN 28,0,0,Andy Dalton pass complete short left to Cody Core for 9 yards (tackle by A.J. Bouye),0.260,0.760
2,11:54,3,1,CIN 37,0,0,Andy Dalton pass incomplete deep middle intended for Cody Core (defended by A.J. Bouye),0.760,-0.910
2,11:47,4,1,CIN 37,0,0,"Kevin Huber punts 47 yards, returned by Tyler Ervin for 1 yard (tackle by Josh Shaw)",-0.910,0.060
2,11:39,1,10,HOU 17,0,0,Alfred Blue middle for no gain (tackle by George Iloka and Vincent Rey),-0.060,-0.580
2,11:03,2,10,HOU 17,0,0,Alfred Blue middle for 5 yards (tackle by Geno Atkins),-0.580,-0.620
2,10:21,3,5,HOU 22,0,0,Tom Savage pass incomplete short left intended for Will Fuller,-0.620,-1.900
2,10:17,4,5,HOU 22,0,0,"Shane Lechler punts 55 yards, returned by Alex Erickson for no gain",-1.900,-0.480
2,10:04,1,10,CIN 23,0,0,Andy Dalton pass complete short right to Rex Burkhead for 11 yards (tackle by Corey Moore),0.480,1.200
2,9:39,1,10,CIN 34,0,0,Rex Burkhead right tackle for 8 yards (tackle by Quintin Demps),1.200,1.740
2,9:01,2,2,CIN 42,0,0,Rex Burkhead left guard for -1 yards (tackle by D.J. Reader and Jadeveon Clowney),1.740,0.890
2,8:17,3,3,CIN 41,0,0,Andy Dalton sacked by Jadeveon Clowney for -10 yards,0.890,-1.310
2,7:42,4,13,CIN 31,0,0,"Kevin Huber punts 54 yards, returned by Tyler Ervin for 14 yards (tackle by Paul Dawson)",-1.310,-0.870
2,7:29,1,10,HOU 29,0,0,Tom Savage pass complete short left to C.J. Fiedorowicz for 7 yards (tackle by Rey Maualuga),0.870,1.270
2,7:09,2,3,HOU 36,0,0,Alfred Blue left tackle for 3 yards (tackle by Michael Johnson),1.270,1.530
2,6:29,1,10,HOU 39,0,0,Alfred Blue right guard for 3 yards (tackle by Karlos Dansby and Margus Hunt),1.530,1.390
2,5:57,2,7,HOU 42,0,0,Alfred Blue left guard for -3 yards (tackle by Pat Sims and Michael Johnson),1.390,0.300
2,5:16,3,10,HOU 39,0,0,Tom Savage pass incomplete short left intended for DeAndre Hopkins (defended by Vincent Rey),0.300,-0.780
2,5:11,4,10,HOU 39,0,0,"Shane Lechler punts 51 yards, returned by Alex Erickson for 9 yards (tackle by Corey Moore). Penalty on Clayton Fejedelem: Illegal Block Above the Waist, 8 yards, Penalty on Marquis Flowers: Illegal Block Above the Waist (Declined)",-0.780,0.380
2,4:58,1,10,CIN 8,0,0,Rex Burkhead left guard for 2 yards (tackle by Quintin Demps and Andre Hal),-0.380,-0.630
2,4:15,2,8,CIN 10,0,0,Andy Dalton pass complete short left to Cody Core for 6 yards (tackle by A.J. Bouye),-0.630,-0.480
