Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
DeAndre Hopkins,ARI,11,7,60,0,4,54,7.7,6,0.9,6.2,0,,1,9.1,1,40.0
Marquise Brown,ARI,8,4,19,0,,4,1.0,15,3.8,7.8,0,,0,0.0,1,16.7
Trey McBride,ARI,5,4,55,0,3,23,5.8,32,8.0,6.0,0,,0,0.0,0,112.5
James Conner,ARI,5,3,28,0,1,-8,-2.7,36,12.0,-1.8,1,3.0,2,40.0,0,75.4
Maxx Williams,ARI,2,2,11,0,,9,4.5,2,1.0,4.5,0,,0,0.0,0,89.6
Robbie Chosen,ARI,2,0,0,0,,0,,0,,36.0,0,,0,0.0,0,39.6
A.J. Green,ARI,2,0,0,0,,0,,0,,6.0,0,,0,0.0,1,0.0
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jerry Jeudy,DEN,8,7,76,0,4,28,4.0,48,6.9,3.8,1,7.0,0,0.0,0,106.2
Marlon Mack,DEN,4,4,26,0,1,-8,-2.0,34,8.5,-2.0,0,,0,0.0,0,93.7
Brandon Johnson,DEN,4,3,30,0,1,23,7.7,7,2.3,13.8,0,,0,0.0,0,95.8
Eric Tomlinson,DEN,3,3,28,1,2,8,2.7,20,6.7,2.7,0,,0,0.0,0,145.1
Greg Dulcich,DEN,2,1,11,0,1,7,7.0,4,4.0,1.5,0,,0,0.0,0,66.7
Latavius Murray,DEN,1,1,12,0,0,2,2.0,10,10.0,2.0,0,,0,0.0,0,116.7
Eric Saubert,DEN,2,1,5,0,,2,2.0,3,3.0,13.0,0,,0,0.0,1,16.7
Freddie Swain,DEN,1,1,9,0,1,-3,-3.0,12,12.0,-3.0,0,,0,0.0,0,104.2
Andrew Beck,DEN,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6
