Unnamed: 0,ARI,DEN
First Downs,13,23
Rush-Yds-TDs,20-73-1,34-168-2
Cmp-Att-Yd-TD-INT,20-36-173-0-3,21-26-197-1-1
Sacked-Yards,3-6,7-41
Net Pass Yards,167,156
Total Yards,240,324
Fumbles-Lost,0-0,3-1
Turnovers,3,2
Penalties-Yards,7-46,4-31
Third Down Conv.,2-12,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,27:02,32:58
