Unnamed: 0,MIA,BUF
First Downs,19,9
Rush-Yds-TDs,36-132-1,17-50-0
Cmp-Att-Yd-TD-INT,21-34-182-0-0,18-34-139-1-0
Sacked-Yards,3-18,3-23
Net Pass Yards,164,116
Total Yards,296,166
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,3-15,5-35
Third Down Conv.,8-18,3-14
Fourth Down Conv.,0-0,1-3
Time of Possession,36:53,23:07
