Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Dan Carpenter kicks off 56 yards, returned by C.J. Spiller for 11 yards (tackle by Bobby Carpenter)",0.000,0.610
1,14:54,1,10,BUF 25,0,0,Trent Edwards pass incomplete short middle intended for Fred Jackson,0.610,0.060
1,14:51,2,10,BUF 25,0,0,Trent Edwards pass incomplete (defended by Randy Starks),0.060,-0.620
1,14:47,3,10,BUF 25,0,0,Trent Edwards sacked by Karlos Dansby for -9 yards,-0.620,-2.390
1,14:14,4,19,BUF 16,0,0,Brian Moorman punts 35 yards,-2.390,-2.190
1,14:02,1,10,MIA 49,0,0,Ronnie Brown middle for 7 yards (tackle by George Wilson and Drayton Florence),2.190,2.590
1,13:22,2,3,BUF 44,0,0,Ronnie Brown middle for no gain (tackle by Andra Davis),2.590,1.880
1,12:43,3,3,BUF 44,0,0,Chad Henne pass complete short middle to Brandon Marshall for 13 yards (tackle by Donte Whitner and Terrence McGee),1.880,3.510
1,12:05,1,10,BUF 31,0,0,Chad Henne middle for -4 yards (tackle by Dwan Edwards),3.510,2.430
1,11:40,2,14,BUF 35,0,0,Chad Henne pass complete short middle to Ronnie Brown for 16 yards (tackle by Drayton Florence),2.430,4.310
1,11:00,1,10,BUF 19,0,0,Lousaka Polite middle for 3 yards (tackle by Chris Kelsay and Kyle Williams),4.310,4.180
1,10:23,2,7,BUF 16,0,0,Ronnie Brown middle for 3 yards (tackle by Drayton Florence and Chris Kelsay),4.180,3.960
1,9:34,3,4,BUF 13,0,0,Chad Henne pass complete short left to Brandon Marshall for -1 yards (tackle by Terrence McGee),3.960,2.560
1,8:57,4,5,BUF 14,3,0,Dan Carpenter 32 yard field goal good,2.560,3.000
1,,,,MIA 30,3,0,"Dan Carpenter kicks off 76 yards, touchback",0.000,0.280
1,8:54,1,10,BUF 20,3,0,C.J. Spiller middle for 6 yards (tackle by Koa Misi and Karlos Dansby),0.280,0.540
1,8:24,2,4,BUF 26,3,0,C.J. Spiller right tackle for 2 yards (tackle by Yeremiah Bell),0.540,0.100
1,7:44,3,2,BUF 28,3,0,Trent Edwards pass complete short middle to David Nelson for 4 yards (tackle by Tyrone Culver),0.100,1.070
1,7:02,1,10,BUF 32,3,0,C.J. Spiller left guard for 2 yards (tackle by Yeremiah Bell and Karlos Dansby),1.070,0.800
1,6:20,2,8,BUF 34,3,0,Trent Edwards pass complete short left to C.J. Spiller for -4 yards (tackle by Chris Clemons),0.800,-0.430
1,5:33,3,12,BUF 30,3,0,Trent Edwards pass complete short middle to Lee Evans for 2 yards (tackle by Cameron Wake and Koa Misi),-0.430,-1.240
1,4:54,4,10,BUF 32,3,0,"Brian Moorman punts 36 yards, returned by Clifton Smith for 3 yards (tackle by Keith Ellison)",-1.240,-1.270
1,4:45,1,10,MIA 35,3,0,Ricky Williams right guard for 2 yards (tackle by Paul Posluszny and Kyle Williams),1.270,0.990
1,4:10,2,8,MIA 37,3,0,Chad Henne pass complete short middle to Brandon Marshall for 13 yards (tackle by Drayton Florence),0.990,2.260
1,3:31,1,10,,3,0,Davone Bess left end for no gain (tackle by Chris Kelsay),2.260,1.710
1,3:04,2,10,,3,0,Chad Henne pass incomplete short right intended for Ricky Williams,1.710,1.030
1,2:58,3,10,,3,0,Chad Henne pass incomplete deep right intended for Brandon Marshall,1.030,-0.060
1,2:51,4,10,,3,0,"Brandon Fields punts 38 yards, returned by Roscoe Parrish for 3 yards (tackle by Patrick Cobbs)",-0.060,0.220
1,2:42,1,10,BUF 15,3,0,C.J. Spiller right end for 2 yards (tackle by Bobby Carpenter and Karlos Dansby),-0.220,-0.440
1,2:05,2,8,BUF 17,3,0,Trent Edwards pass complete short right to C.J. Spiller for 6 yards (tackle by Karlos Dansby),-0.440,-0.390
1,1:32,3,2,BUF 23,3,0,Trent Edwards pass incomplete short right intended for Roscoe Parrish,-0.390,-1.830
1,1:28,4,2,BUF 23,3,0,"Brian Moorman punts 42 yards, fair catch by Clifton Smith",-1.830,-1.270
1,1:21,1,10,MIA 35,3,0,Chad Henne pass complete short right to Lousaka Polite for 9 yards (tackle by Paul Posluszny and Andra Davis),1.270,1.940
1,0:44,2,1,MIA 44,3,0,Ronnie Brown middle for 2 yards (tackle by Andra Davis and Spencer Johnson),1.940,1.990
1,0:09,1,10,MIA 46,3,0,Chad Henne pass complete short left to Brandon Marshall for 10 yards (tackle by Chris Ellis and Donte Whitner),1.990,2.650
Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA
