Quarter,Time,Tm,Detail,MIA,BUF
1.0,8:54,Dolphins,Dan Carpenter 32 yard field goal,3,0
2.0,11:12,Dolphins,Ronnie Brown 1 yard rush (Dan Carpenter kick),10,0
,7:08,Bills,Rian Lindell 51 yard field goal,10,3
4.0,9:32,Dolphins,Dan Carpenter 43 yard field goal,13,3
,5:13,Bills,Roscoe Parrish 31 yard pass from Trent Edwards (Rian Lindell kick),13,10
,1:32,Dolphins,"Safety, Buffalo long snapper Garrison Sanborn snapped ball out of end zone.",15,10
