Unnamed: 0,DEN,OAK
First Downs,13,30
Rush-Yds-TDs,12-33-0,43-218-3
Cmp-Att-Yd-TD-INT,18-37-283-2-1,20-31-184-0-0
Sacked-Yards,2-17,2-5
Net Pass Yards,266,179
Total Yards,299,397
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,12-104,8-72
Third Down Conv.,3-11,5-14
Fourth Down Conv.,0-1,0-0
Time of Possession,18:32,41:28
