Quarter,Time,Tm,Detail,DEN,OAK
1.0,10:21,Raiders,Sebastian Janikowski 24 yard field goal,0,3
,4:52,Raiders,Sebastian Janikowski 29 yard field goal,0,6
2.0,14:07,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),0,13
,8:22,Broncos,Jordan Norwood 36 yard pass from Trevor Siemian (Brandon McManus kick),7,13
,1:25,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),7,20
,0:00,Broncos,Brandon McManus 55 yard field goal,10,20
4.0,14:56,Broncos,Brandon McManus 44 yard field goal,13,20
,8:19,Raiders,Sebastian Janikowski 35 yard field goal,13,23
,6:09,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),13,30
,5:18,Broncos,Kapri Bibbs 69 yard pass from Trevor Siemian (Brandon McManus kick),20,30
