Unnamed: 0,ARI,ATL
First Downs,23,28
Rush-Yds-TDs,14-58-0,30-116-3
Cmp-Att-Yd-TD-INT,25-45-289-2-1,26-34-269-2-1
Sacked-Yards,2-15,3-25
Net Pass Yards,274,244
Total Yards,332,360
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,8-60,4-23
Third Down Conv.,4-11,4-9
Fourth Down Conv.,1-2,1-1
Time of Possession,25:38,34:22
