Unnamed: 0,DET,MIN
First Downs,22,18
Rush-Yds-TDs,24-108-1,28-120-0
Cmp-Att-Yd-TD-INT,21-35-203-0-1,25-34-275-1-1
Sacked-Yards,4-23,2-11
Net Pass Yards,180,264
Total Yards,288,384
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,3-30,7-74
Third Down Conv.,3-11,5-13
Fourth Down Conv.,0-1,0-0
Time of Possession,27:54,32:06
