Quarter,Time,Tm,Detail,DET,MIN
1.0,10:34,Lions,Austin Seibert 39 yard field goal,3,0
,6:30,Vikings,Greg Joseph 38 yard field goal,3,3
2.0,9:50,Vikings,Greg Joseph 38 yard field goal,3,6
,2:20,Vikings,Alexander Mattison 15 yard pass from Kirk Cousins (Greg Joseph kick),3,13
,0:41,Lions,Austin Seibert 52 yard field goal,6,13
4.0,4:28,Vikings,Greg Joseph 55 yard field goal,6,16
,2:30,Lions,Austin Seibert 40 yard field goal,9,16
,0:37,Lions,D'Andre Swift 7 yard rush (KhaDarel Hodge pass from Jared Goff),17,16
,0:00,Vikings,Greg Joseph 54 yard field goal,17,19
