Quarter,Time,Tm,Detail,WAS,DEN
2.0,10:27,Broncos,Brandon McManus 45 yard field goal,0,3
,5:25,Football Team,Chris Blewitt 52 yard field goal,3,3
,1:11,Broncos,Melvin Gordon 15 yard pass from Teddy Bridgewater (Brandon McManus kick),3,10
3.0,0:38,Football Team,DeAndre Carter 20 yard pass from Taylor Heinicke (Chris Blewitt kick),10,10
4.0,4:27,Broncos,Melvin Gordon 7 yard rush (Brandon McManus kick),10,17
