Unnamed: 0,WAS,DEN
First Downs,21,17
Rush-Yds-TDs,24-112-0,21-83-1
Cmp-Att-Yd-TD-INT,24-39-270-1-2,19-26-213-1-0
Sacked-Yards,5-40,4-23
Net Pass Yards,230,190
Total Yards,342,273
Fumbles-Lost,2-0,1-1
Turnovers,2,1
Penalties-Yards,4-29,4-35
Third Down Conv.,5-14,7-13
Fourth Down Conv.,1-5,0-0
Time of Possession,31:50,28:10
