Quarter,Time,Tm,Detail,MIA,CIN
1.0,9:51,Bengals,Mike Nugent 42 yard field goal,0,3
,9:04,Dolphins,Kenny Stills 74 yard pass from Ryan Tannehill (Andrew Franks kick),7,3
,3:19,Bengals,A.J. Green 7 yard pass from Andy Dalton (Mike Nugent kick),7,10
2.0,4:12,Bengals,Mike Nugent 22 yard field goal,7,13
,1:06,Bengals,Mike Nugent 43 yard field goal,7,16
3.0,6:09,Bengals,Mike Nugent 22 yard field goal,7,19
4.0,13:30,Bengals,Mike Nugent 47 yard field goal,7,22
