Unnamed: 0,MIA,CIN
First Downs,8,19
Rush-Yds-TDs,13-62-0,37-77-0
Cmp-Att-Yd-TD-INT,15-25-189-1-1,22-31-296-1-0
Sacked-Yards,5-29,1-11
Net Pass Yards,160,285
Total Yards,222,362
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,7-68,6-40
Third Down Conv.,2-11,3-15
Fourth Down Conv.,0-1,1-1
Time of Possession,21:58,38:02
