Unnamed: 0,TAM,SDG
First Downs,20,18
Rush-Yds-TDs,30-81-1,25-119-1
Cmp-Att-Yd-TD-INT,20-30-280-1-1,15-26-225-2-2
Sacked-Yards,1-12,2-14
Net Pass Yards,268,211
Total Yards,349,330
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,6-35,6-45
Third Down Conv.,5-13,4-8
Fourth Down Conv.,1-1,0-0
Time of Possession,31:41,28:19
