Quarter,Time,Down,ToGo,Location,TAM,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,SDG 25,0,0,Philip Rivers pass complete short middle to Antonio Gates for 6 yards (tackle by Bradley McDougald),0.610,0.870
1,14:34,2,4,SDG 31,0,0,Melvin Gordon middle for 5 yards (tackle by Keith Tandy and Vernon Hargreaves),0.870,1.330
1,13:56,1,10,SDG 36,0,0,Melvin Gordon middle for -1 yards (tackle by Kwon Alexander),1.330,0.660
1,13:20,2,11,SDG 35,0,0,Philip Rivers pass complete short right to Melvin Gordon for 17 yards (tackle by Alterraun Verner),0.660,2.390
1,12:41,1,10,TAM 48,0,0,Kenneth Farrow middle for 8 yards (tackle by Keith Tandy and William Gholston),2.390,2.930
1,12:09,2,2,TAM 40,0,0,Kenneth Farrow right guard for 4 yards (tackle by Clinton McDonald),2.930,3.180
1,11:35,1,10,TAM 36,0,0,Kenneth Farrow right tackle for 1 yard (tackle by Akeem Spence),3.180,2.770
1,11:03,2,9,TAM 35,0,6,"Philip Rivers pass complete short left to Dontrelle Inman for 35 yards, touchdown",2.770,7.000
1,10:53,,,TAM 15,0,7,Josh Lambo kicks extra point good,0.000,0.000
1,10:53,,,SDG 35,0,7,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
1,10:53,1,10,TAM 25,0,7,Doug Martin middle for 1 yard (tackle by Denzel Perryman),0.610,0.200
1,10:22,2,9,TAM 26,0,7,Jameis Winston pass incomplete deep middle intended for Cecil Shorts,0.200,-0.490
1,10:15,3,9,TAM 26,0,7,Jameis Winston pass complete short middle to Cecil Shorts for 14 yards (tackle by Jahleel Addae),-0.490,1.600
1,9:48,1,10,TAM 40,0,7,Doug Martin right tackle for 3 yards (tackle by Kyle Emanuel),1.600,1.460
1,9:05,2,7,TAM 43,0,7,Jameis Winston pass incomplete short left intended for Mike Evans is intercepted by Casey Hayward at SDG-47 and returned for 2 yards,1.460,-2.190
1,8:59,1,10,SDG 49,0,7,Melvin Gordon right end for 17 yards (tackle by Keith Tandy),2.190,3.310
1,8:21,1,10,TAM 34,0,7,"Philip Rivers pass complete short right to Melvin Gordon for 3 yards (tackle by Clinton McDonald and Kwon Alexander). Penalty on Orlando Franklin: Offensive Holding, 10 yards (no play)",3.310,2.650
1,7:49,1,20,TAM 44,0,7,Philip Rivers pass complete short right to Travis Benjamin for 6 yards (tackle by Vernon Hargreaves),2.650,2.230
1,7:09,2,14,TAM 38,0,7,Philip Rivers pass complete short right to Melvin Gordon for 9 yards (tackle by Kwon Alexander and Brent Grimes),2.230,2.740
1,6:23,3,5,TAM 29,0,7,Philip Rivers sacked by Gerald McCoy and Robert Ayers for -7 yards,2.740,0.880
1,5:40,4,12,TAM 36,0,7,Josh Lambo 53 yard field goal no good,0.880,-1.860
1,5:34,1,10,TAM 44,0,7,Jameis Winston pass complete short left to Mike Evans for 12 yards (tackle by Korey Toomer). Penalty on Tourek Williams: Defensive Holding (Declined),1.860,2.650
1,5:18,1,10,SDG 44,0,7,Doug Martin middle for 15 yards (tackle by Jahleel Addae),2.650,3.640
1,4:50,1,10,SDG 29,0,7,"Doug Martin middle for 4 yards (tackle by Denzel Perryman). Penalty on Joe Hawley: Offensive Holding, 10 yards (no play)",3.640,2.980
1,4:25,1,20,SDG 39,0,7,Doug Martin left end for 4 yards (tackle by Korey Toomer and Melvin Ingram),2.980,2.290
1,3:45,2,16,SDG 35,0,7,Jameis Winston pass complete deep left to Mike Evans for 22 yards (tackle by Jahleel Addae),2.290,4.710
1,3:08,1,10,SDG 13,0,7,Doug Martin middle for -2 yards (tackle by Corey Liuget),4.710,3.760
1,2:25,2,12,SDG 15,0,7,Jameis Winston pass complete short right to Adam Humphries for 12 yards (tackle by Jahleel Addae and Adrian Phillips),3.760,6.510
1,1:53,1,3,SDG 3,0,7,Doug Martin right tackle for 1 yard (tackle by Denzel Perryman),6.510,5.720
1,1:15,2,2,SDG 2,6,7,"Doug Martin left guard for 2 yards, touchdown",5.720,7.000
1,1:08,,,SDG 15,7,7,Roberto Aguayo kicks extra point good,0.000,0.000
1,1:08,,,TAM 35,7,7,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
1,1:08,1,10,SDG 25,7,7,Philip Rivers pass complete short right to Melvin Gordon for 11 yards (tackle by Kwon Alexander),0.610,1.330
1,0:33,1,10,SDG 36,7,7,Melvin Gordon left end for 3 yards (tackle by William Gholston),1.330,1.200
Quarter,Time,Down,ToGo,Location,TAM,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,SDG 39,7,7,Philip Rivers pass complete short right to Melvin Gordon for 17 yards (tackle by Bradley McDougald and Lavonte David),1.200,2.650
2,14:11,1,10,TAM 44,7,7,Melvin Gordon right end for 7 yards (tackle by William Gholston and Bradley McDougald),2.650,3.060
2,13:36,2,3,TAM 37,7,7,Kenneth Farrow middle for 2 yards (tackle by Vernon Hargreaves),3.060,2.610
2,12:54,3,1,TAM 35,7,7,Derek Watt middle for 2 yards (tackle by William Gholston and Kwon Alexander),2.610,3.380
2,12:06,1,10,TAM 33,7,7,Philip Rivers pass incomplete short middle intended for Dontrelle Inman,3.380,2.840
2,12:01,2,10,TAM 33,7,7,Philip Rivers pass complete short left to Dontrelle Inman for 14 yards (tackle by Alterraun Verner),2.840,4.310
2,11:22,1,10,TAM 19,7,7,Philip Rivers pass complete short left to Hunter Henry for 14 yards (tackle by Kwon Alexander),4.310,6.060
2,10:42,1,5,TAM 5,7,7,Philip Rivers for 3 yards (tackle by Vernon Hargreaves),6.060,5.720
2,10:08,2,2,TAM 2,7,13,"Melvin Gordon middle for 2 yards, touchdown",5.720,7.000
2,10:04,,,TAM 15,7,14,Josh Lambo kicks extra point good,0.000,0.000
2,10:04,,,SDG 35,7,14,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
2,10:04,1,10,TAM 25,7,14,Jameis Winston pass incomplete short middle intended for Brandon Myers,0.610,0.060
2,9:59,2,10,TAM 25,7,14,Doug Martin right guard for 1 yard (tackle by Denzel Perryman),0.060,-0.490
2,9:19,3,9,TAM 26,7,14,Jameis Winston pass incomplete short left intended for Cameron Brate (defended by Dwight Lowery),-0.490,-1.630
2,9:14,4,9,TAM 26,7,14,"Bryan Anger punts 54 yards, returned by Isaiah Burse for 12 yards (tackle by Peyton Barber)",-1.630,-1.070
2,9:01,1,10,SDG 32,7,14,"Philip Rivers pass incomplete. Penalty on Philip Rivers: Intentional Grounding, 11 yards",1.070,-0.960
2,8:56,2,21,SDG 21,7,14,Philip Rivers pass complete short left to Travis Benjamin for 18 yards (tackle by Vernon Hargreaves),-0.960,0.760
2,8:12,3,3,SDG 39,7,14,Philip Rivers pass incomplete short right intended for Travis Benjamin (defended by Brent Grimes),0.760,-0.780
2,7:55,4,3,SDG 39,7,14,"Drew Kaser punts 40 yards, returned by Adam Humphries for 7 yards (tackle by Tourek Williams)",-0.780,-0.810
2,7:54,1,10,TAM 28,7,14,Doug Martin middle for no gain (tackle by Korey Toomer and Jahleel Addae),0.810,0.260
2,7:15,2,10,TAM 28,7,14,Jameis Winston pass complete short left to Cameron Brate for 6 yards (tackle by Denzel Perryman),0.260,0.370
2,6:21,3,4,TAM 34,7,14,Jameis Winston pass complete short middle to Adam Humphries for 7 yards (tackle by Adrian Phillips),0.370,1.660
2,5:46,1,10,TAM 41,7,14,"Penalty on Jameis Winston: Delay of Game, 5 yards (no play)",1.660,1.330
2,5:22,1,15,TAM 36,7,14,Jameis Winston pass incomplete short left intended for Alan Cross,1.330,0.450
2,5:15,2,15,TAM 36,7,14,Doug Martin right end for 7 yards (tackle by Adrian Phillips),0.450,0.700
2,4:34,3,8,TAM 43,7,14,"Jameis Winston middle for 17 yards. Penalty on Demar Dotson: Illegal Use of Hands, 10 yards (no play)",0.700,-0.630
2,4:08,3,18,TAM 33,7,14,Jameis Winston pass complete deep right to Freddie Martino for 17 yards (tackle by Tourek Williams),-0.630,-0.060
2,3:21,4,1,,7,14,Peyton Barber middle for 2 yards (tackle by Kyle Emanuel),-0.060,2.390
