Quarter,Time,Tm,Detail,TAM,SDG
1.0,10:53,Chargers,Dontrelle Inman 35 yard pass from Philip Rivers (Josh Lambo kick),0,7
,1:08,Buccaneers,Doug Martin 2 yard rush (Roberto Aguayo kick),7,7
2.0,10:04,Chargers,Melvin Gordon 2 yard rush (Josh Lambo kick),7,14
3.0,8:25,Buccaneers,Roberto Aguayo 27 yard field goal,10,14
,4:25,Buccaneers,Lavonte David 15 yard interception return (Roberto Aguayo kick),17,14
,1:33,Chargers,Tyrell Williams 40 yard pass from Philip Rivers (Josh Lambo kick),17,21
4.0,13:03,Buccaneers,Roberto Aguayo 35 yard field goal,20,21
,9:01,Buccaneers,Cameron Brate 12 yard pass from Jameis Winston (Mike Evans pass from Jameis Winston),28,21
