Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
1,7:53,2,14,DET 48,0,0,Blake Bortles pass complete short left to Marcedes Lewis for 1 yard (tackle by Nevin Lawson),1.570,1.030
1,7:09,3,13,DET 47,0,0,Blake Bortles pass complete short left to T.J. Yeldon for 2 yards (tackle by Miles Killebrew and Haloti Ngata),1.030,0.270
1,6:29,4,11,DET 45,0,0,"Brad Nortman punts 30 yards, fair catch by Andre Roberts",0.270,0.220
1,6:20,1,10,DET 15,0,0,Matthew Stafford pass incomplete short right intended for Anquan Boldin (defended by Jared Odrick),-0.220,-0.710
1,6:16,2,10,DET 15,0,0,Theo Riddick right end for -2 yards (tackle by Abry Jones),-0.710,-1.640
1,5:48,3,12,DET 13,0,0,Matthew Stafford pass incomplete short right intended for Eric Ebron,-1.640,-2.490
1,5:40,4,12,DET 13,0,0,"Sam Martin punts 45 yards, fair catch by Rashad Greene",-2.490,-1.730
1,5:32,1,10,JAX 42,0,0,Blake Bortles pass complete short left to Allen Robinson for 11 yards (tackle by Quandre Diggs),1.730,2.460
1,5:03,1,10,DET 47,0,0,Chris Ivory middle for 4 yards (tackle by Tavon Wilson),2.460,2.450
1,4:21,2,6,DET 43,0,0,Chris Ivory right end for -3 yards (tackle by A'Shawn Robinson),2.450,1.350
1,3:42,3,9,DET 46,0,0,"Penalty on Jermey Parnell: False Start, 5 yards (no play)",1.350,0.700
1,3:28,3,14,JAX 49,0,0,Blake Bortles left end for 3 yards (tackle by Ezekiel Ansah and Miles Killebrew),0.700,0.070
1,2:45,4,11,DET 48,0,0,"Brad Nortman punts 36 yards, muffed catch by Andre Roberts, recovered by Ben Koyack and returned for no gain",0.070,4.840
1,2:30,1,10,DET 11,0,0,Blake Bortles pass incomplete short right intended for Julius Thomas,4.840,4.140
1,2:25,2,10,DET 11,0,0,T.J. Yeldon middle for 2 yards (tackle by Anthony Zettel and Stefan Charles),4.140,3.530
1,1:47,3,8,DET 9,0,0,Blake Bortles pass incomplete short middle intended for T.J. Yeldon,3.530,2.830
1,1:39,4,8,DET 9,3,0,Jason Myers 27 yard field goal good,2.830,3.000
1,1:36,,,JAX 35,3,0,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
1,1:36,1,10,DET 25,3,0,Dwayne Washington left end for 2 yards (tackle by Telvin Smith),0.610,0.330
1,0:55,2,8,DET 27,3,0,Matthew Stafford sacked by Tyson Alualu for -6 yards,0.330,-1.150
1,0:11,3,14,DET 21,3,0,Matthew Stafford pass complete short left to Dwayne Washington for 7 yards (tackle by Malik Jackson and Jalen Ramsey),-1.150,-1.500
Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,7,DET 28,3,0,"Sam Martin punts 39 yards, muffed catch by Rashad Greene, ball out of bounds at JAX-34",-1.500,-1.200
2,14:52,1,10,JAX 34,3,0,Blake Bortles pass incomplete deep right intended for Allen Robinson (defended by Darius Slay),1.200,0.660
2,14:43,2,10,JAX 34,3,0,Marqise Lee right end for 6 yards (tackle by Antwione Williams),0.660,0.760
2,14:10,3,4,JAX 40,3,0,Blake Bortles pass complete short middle to Marqise Lee for 12 yards (tackle by Miles Killebrew),0.760,2.390
2,13:34,1,10,DET 48,3,0,"Chris Ivory middle for 8 yards (tackle by Glover Quin). Chris Ivory fumbles (forced by Glover Quin), recovered by Antwione Williams at DET-38 (tackle by Julius Thomas). Antwione Williams fumbles (forced by Julius Thomas), recovered by Tavon Wilson at DET-38 (tackle by Julius Thomas)",2.390,-1.330
2,13:25,1,10,DET 36,3,0,Dwayne Washington right tackle for -3 yards (tackle by Dante Fowler),1.330,0.390
2,12:43,2,13,DET 33,3,0,Matthew Stafford pass incomplete deep middle intended for Eric Ebron,0.390,-0.300
2,12:38,3,13,DET 33,3,0,Matthew Stafford pass incomplete deep middle intended for Golden Tate,-0.300,-1.180
,,,,,,,"JAX challenged the pass completion ruling, and the original play was overturned.",,
2,12:34,4,13,DET 33,3,0,Sam Martin punts 61 yards,-1.180,0.380
2,12:23,1,10,JAX 6,3,0,Chris Ivory middle for 2 yards (tackle by Anthony Zettel),-0.380,-0.630
2,11:42,2,8,JAX 8,3,0,Blake Bortles pass incomplete short middle intended for Ben Koyack,-0.630,-1.190
2,11:37,3,8,JAX 8,3,0,Blake Bortles pass incomplete short left intended for Marqise Lee (defended by Nevin Lawson),-1.190,-2.490
2,11:31,4,8,JAX 8,3,6,"Brad Nortman punts 47 yards, returned by Andre Roberts for 55 yards, touchdown",-2.490,-7.000
2,,,,JAX 15,3,6,Matt Prater kicks extra point good,,
2,11:13,,,DET 35,3,6,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
2,11:13,1,10,JAX 25,3,6,Chris Ivory middle for 2 yards (tackle by Antwione Williams),0.610,0.330
2,10:41,2,8,JAX 27,3,6,Blake Bortles pass complete short right to Marqise Lee for 8 yards (tackle by Tavon Wilson),0.330,1.270
2,10:02,1,10,JAX 35,3,6,Blake Bortles pass complete short right to Chris Ivory for no gain,1.270,0.720
2,9:21,2,10,JAX 35,3,6,Blake Bortles pass incomplete deep right intended for Allen Robinson,0.720,0.040
2,9:13,3,10,JAX 35,3,6,Blake Bortles pass complete short right to Chris Ivory for 8 yards (tackle by Miles Killebrew),0.040,-0.520
2,8:33,4,2,JAX 43,3,6,Brad Nortman punts 54 yards,-0.520,0.380
2,8:21,1,10,DET 3,3,6,"Penalty on Graham Glasgow: False Start, 1 yards (no play)",-0.380,-0.420
2,8:21,1,11,DET 2,3,6,Matthew Stafford pass complete short left to Anquan Boldin for 4 yards (tackle by Jalen Ramsey),-0.420,-0.560
2,7:47,2,7,DET 6,3,6,Dwayne Washington left tackle for 3 yards (tackle by Paul Posluszny),-0.560,-0.720
2,7:01,3,4,DET 9,3,6,Matthew Stafford sacked by Malik Jackson for -4 yards,-0.720,-2.490
2,6:17,4,8,DET 5,3,6,"Sam Martin punts 52 yards, returned by Rashad Greene for 3 yards (tackle by Don Carey)",-2.490,-1.990
2,6:04,1,10,JAX 46,3,6,Chris Ivory right end for 2 yards (tackle by Devin Taylor),1.990,1.720
2,5:37,2,8,JAX 48,3,6,Blake Bortles pass complete short left to Chris Ivory for 22 yards (tackle by Darius Slay),1.720,3.580
2,5:04,1,10,DET 30,3,6,Blake Bortles pass incomplete deep left intended for Allen Robinson,3.580,3.030
2,4:59,2,10,DET 30,3,6,Chris Ivory left end for 2 yards (tackle by Ezekiel Ansah),3.030,2.610
2,4:13,3,8,DET 28,3,6,Blake Bortles pass complete short middle to Chris Ivory for 14 yards (tackle by Quandre Diggs),2.610,4.650
2,3:35,1,10,DET 14,3,6,Chris Ivory middle for 7 yards (tackle by Tahir Whitehead),4.650,5.280
2,2:55,2,3,DET 7,3,6,"Blake Bortles pass incomplete short right intended for Allen Robinson. Penalty on Darius Slay: Defensive Holding, 4 yards (no play)",5.280,6.510
2,2:49,1,3,DET 3,9,6,"Blake Bortles pass complete short middle to Allen Robinson for 3 yards, touchdown",6.510,7.000
2,2:45,,,DET 15,9,6,Jason Myers kicks extra point no good,0.000,-1.000
2,2:45,,,JAX 35,9,6,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
2,2:45,1,10,DET 25,9,6,Matthew Stafford pass complete short left to Theo Riddick for 14 yards (tackle by Jonathan Cyprien),0.610,1.530
2,2:16,1,10,DET 39,9,6,Matthew Stafford pass complete short right to Golden Tate for 12 yards (tackle by Jalen Ramsey),1.530,2.320
2,2:00,1,10,JAX 49,9,6,Matthew Stafford pass complete short right to Theo Riddick for 12 yards (tackle by Jonathan Cyprien),2.320,3.120
2,1:53,1,10,JAX 37,9,6,Matthew Stafford pass incomplete deep right intended for Marvin Jones,3.120,2.570
2,1:48,2,10,JAX 37,9,6,Matthew Stafford pass complete short middle to Anquan Boldin for 8 yards (tackle by Paul Posluszny),2.570,2.940
2,1:23,3,2,JAX 29,9,6,Matthew Stafford pass complete short middle to Marvin Jones for 15 yards (tackle by Prince Amukamara),2.940,4.650
2,0:44,1,10,JAX 14,9,6,Matthew Stafford pass complete short left to Theo Riddick for 5 yards (tackle by Paul Posluszny),4.650,0.000
2,0:36,,,,9,6,Timeout #1 by Detroit Lions,0.000,-4.900
2,0:36,2,5,JAX 9,9,6,Matthew Stafford pass incomplete short left intended for Theo Riddick,4.900,4.050
2,0:31,3,5,JAX 9,9,6,Matthew Stafford middle for 1 yard (tackle by Sen'Derrick Marks),4.050,0.000
2,0:23,,,,9,6,Timeout #2 by Detroit Lions,0.000,-2.980
2,0:23,4,4,JAX 8,9,9,Matt Prater 27 yard field goal good,2.980,3.000
2,0:19,,,DET 35,9,9,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
2,0:19,1,10,JAX 25,9,9,Chad Henne kneels for -2 yards,0.610,-0.210
Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,9,9,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,JAX 25,9,9,Chris Ivory middle for 3 yards (tackle by Ezekiel Ansah),0.610,0.470
3,14:21,2,7,JAX 28,9,9,Blake Bortles pass incomplete deep left intended for Allen Hurns,0.470,-0.230
3,14:16,3,7,JAX 28,9,15,"Blake Bortles pass incomplete short right intended for Marqise Lee is intercepted by Rafael Bush at JAX-39 and returned for 39 yards, touchdown",-0.230,-7.000
3,,,,JAX 15,9,16,Matt Prater kicks extra point good,,
3,14:02,,,DET 35,9,16,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
3,14:02,1,10,JAX 25,9,16,"Blake Bortles pass incomplete deep right intended for Allen Robinson (defended by Darius Slay). Penalty on Darius Slay: Defensive Pass Interference, 17 yards (no play)",0.610,1.730
3,13:56,1,10,JAX 42,9,16,"Chris Ivory right tackle for 4 yards (tackle by Kerry Hyder). Penalty on Stefan Charles: Defensive Offside, 5 yards (no play)",1.730,2.460
3,13:40,1,5,JAX 47,9,16,"Chris Ivory middle for 4 yards (tackle by Tahir Whitehead). Penalty on A.J. Cann: Offensive Holding, 10 yards (no play)",2.460,1.400
3,13:19,1,15,JAX 37,9,16,Blake Bortles pass complete short right to Denard Robinson for 4 yards (tackle by Darius Slay and Rafael Bush),1.400,1.050
3,12:39,2,11,JAX 41,9,16,Blake Bortles pass complete short middle to Allen Hurns for 9 yards (tackle by Tavon Wilson),1.050,1.550
3,11:59,3,2,,9,16,Blake Bortles pass complete short left to Julius Thomas for 9 yards (tackle by Nevin Lawson),1.550,2.850
3,11:26,1,10,DET 41,9,16,Chris Ivory right end for 1 yard (tackle by Quandre Diggs),2.850,2.440
3,10:46,2,9,DET 40,9,16,Denard Robinson middle for 7 yards (tackle by Ezekiel Ansah),2.440,2.680
3,10:06,3,2,DET 33,9,16,Blake Bortles pass complete short left to Julius Thomas for -1 yards (tackle by Rafael Bush),2.680,1.090
3,9:25,4,3,DET 34,12,16,Jason Myers 52 yard field goal good,1.090,3.000
3,9:20,,,JAX 35,12,16,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
3,9:20,1,10,DET 25,12,16,Dwayne Washington left end for 4 yards (tackle by Telvin Smith),0.610,0.600
3,8:53,2,6,DET 29,12,16,Matthew Stafford pass complete short left to Dwayne Washington for 8 yards (tackle by Telvin Smith),0.600,1.400
3,8:25,1,10,DET 37,12,16,Dwayne Washington middle for -2 yards (tackle by Peyton Thompson and Abry Jones),1.400,0.590
3,8:00,2,12,DET 35,12,16,Matthew Stafford pass complete short middle to Anquan Boldin for 6 yards (tackle by Telvin Smith and Paul Posluszny),0.590,0.700
3,7:20,3,6,DET 41,12,16,Matthew Stafford pass incomplete short right intended for Anquan Boldin,0.700,-0.650
3,7:15,4,6,DET 41,12,16,"Sam Martin punts 46 yards, fair catch by Rashad Greene",-0.650,0.320
3,7:06,1,10,JAX 13,12,16,Chris Ivory right tackle for 3 yards (tackle by Tavon Wilson),-0.320,-0.440
3,6:32,2,7,JAX 16,12,16,Blake Bortles pass complete short left to Chris Ivory for 9 yards (tackle by Tavon Wilson),-0.440,0.610
3,5:52,1,10,JAX 25,12,16,Chris Ivory right end for 6 yards (tackle by Johnthan Banks),0.610,0.870
3,5:12,2,4,JAX 31,12,16,Blake Bortles pass complete short middle to Chris Ivory for 22 yards (tackle by Johnthan Banks),0.870,2.460
3,4:31,1,10,DET 47,12,16,Denard Robinson middle for 5 yards (tackle by Antwione Williams),2.460,2.590
3,3:54,2,5,DET 42,12,16,Denard Robinson left end for 9 yards (tackle by Tahir Whitehead and Kerry Hyder),2.590,3.380
3,3:18,1,10,DET 33,12,16,Blake Bortles pass complete deep left to Marqise Lee for 29 yards,3.380,6.280
3,2:57,1,4,DET 4,12,16,Chris Ivory middle for 1 yard (tackle by Haloti Ngata),6.280,5.530
3,2:16,2,3,DET 3,18,16,"Blake Bortles pass complete short left to Marqise Lee for 3 yards, touchdown",5.530,7.000
3,2:10,,,DET 15,19,16,Jason Myers kicks extra point good,0.000,0.000
3,2:10,,,JAX 35,19,16,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
3,2:10,1,10,DET 25,19,16,Dwayne Washington left end for 3 yards (tackle by Myles Jack),0.610,0.470
3,1:30,2,7,DET 28,19,16,Matthew Stafford pass complete deep left to Andre Roberts for 44 yards (tackle by Paul Posluszny),0.470,3.710
3,0:44,1,10,JAX 28,19,16,"Golden Tate left end for -6 yards (tackle by Jared Odrick). Golden Tate fumbles (forced by Jared Odrick), recovered by Telvin Smith at JAX-34 (tackle by Taylor Decker)",3.710,-1.200
3,0:35,1,10,JAX 34,19,16,Chris Ivory right end for 6 yards (tackle by A'Shawn Robinson),1.200,1.470
Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,JAX 40,19,16,Chris Ivory right end for -1 yards (tackle by Kerry Hyder),1.470,0.630
4,14:18,3,5,JAX 39,19,16,Blake Bortles pass complete short right to Julius Thomas for 4 yards (tackle by Miles Killebrew),0.630,-0.520
4,13:32,4,1,JAX 43,19,16,"Brad Nortman punts 36 yards, fair catch by Andre Roberts",-0.520,-0.340
4,13:24,1,10,DET 21,19,16,Matthew Stafford pass incomplete short middle intended for Theo Riddick (defended by Abry Jones),0.340,-0.200
4,13:20,2,10,DET 21,19,16,Matthew Stafford pass complete short middle to Golden Tate for 13 yards (tackle by Jalen Ramsey),-0.200,1.200
4,12:44,1,10,DET 34,19,16,Theo Riddick middle for 2 yards (tackle by Tyson Alualu and Jonathan Cyprien),1.200,0.930
4,12:05,2,8,DET 36,19,16,Matthew Stafford sacked by Yannick Ngakoue for -5 yards,0.930,-0.430
4,11:23,3,13,DET 31,19,16,Matthew Stafford pass complete deep left to Eric Ebron for 61 yards (tackle by Jonathan Cyprien),-0.430,0.000
4,10:49,,,,19,16,Timeout #1 by Jacksonville Jaguars,0.000,-5.370
4,10:49,1,8,JAX 8,19,16,Theo Riddick middle for 7 yards (tackle by Jared Odrick),5.370,5.910
4,10:08,2,1,JAX 1,19,22,"Eric Ebron right end for 1 yard, touchdown",5.910,7.000
4,10:03,,,JAX 15,19,23,Matt Prater kicks extra point good,0.000,0.000
4,10:03,,,DET 35,19,23,"Sam Martin kicks off 63 yards, returned by Marqise Lee for 42 yards (tackle by Rafael Bush)",0.000,-1.860
4,9:54,1,10,JAX 44,19,23,Chris Ivory right end for -5 yards (tackle by Stefan Charles),1.860,0.640
4,9:13,2,15,JAX 39,19,23,Blake Bortles pass incomplete short left intended for Julius Thomas,0.640,-0.030
4,9:08,3,15,JAX 39,19,23,Blake Bortles pass complete short left to Allen Robinson for 4 yards (tackle by Darius Slay),-0.030,-0.520
4,8:27,4,11,JAX 43,19,23,"Brad Nortman punts 42 yards, fair catch by Andre Roberts",-0.520,0.220
4,8:19,1,10,DET 15,19,23,Dwayne Washington right tackle for -3 yards (tackle by Jonathan Cyprien),-0.220,-1.000
4,7:38,2,13,DET 12,19,23,Matthew Stafford pass complete short middle to Theo Riddick for 20 yards (tackle by Telvin Smith),-1.000,1.070
4,6:54,1,10,DET 32,19,23,Matthew Stafford pass complete short right to Eric Ebron for 7 yards (tackle by Tashaun Gipson),1.070,1.470
4,6:09,2,3,DET 39,19,23,Matthew Stafford pass complete short right to Theo Riddick for -1 yards (tackle by Telvin Smith),1.470,0.630
4,5:23,3,4,DET 38,19,23,Matthew Stafford pass complete short middle to Anquan Boldin for 8 yards (tackle by Peyton Thompson),0.630,1.990
4,4:37,1,10,DET 46,19,23,Dwayne Washington left end for -3 yards (tackle by Paul Posluszny),1.990,1.050
4,3:53,2,13,DET 43,19,23,Matthew Stafford pass complete short left to Theo Riddick for 7 yards (tackle by Abry Jones),1.050,1.290
4,3:05,3,6,,19,23,Matthew Stafford pass complete short middle to Anquan Boldin for 4 yards (tackle by Jalen Ramsey),1.290,0.200
4,2:34,4,2,JAX 46,19,23,"Penalty on Sen'Derrick Marks: Encroachment, 5 yards (no play)",0.200,2.850
4,2:34,1,10,JAX 41,19,23,Dwayne Washington middle for 3 yards (tackle by Abry Jones),2.850,0.000
4,2:30,,,,19,23,Timeout #2 by Jacksonville Jaguars,0.000,-2.710
4,2:30,2,7,JAX 38,19,23,Dwayne Washington middle for 2 yards (tackle by Abry Jones),2.710,0.000
4,2:25,,,,19,23,Timeout #3 by Jacksonville Jaguars,0.000,-2.280
4,2:25,3,5,JAX 36,19,23,Matthew Stafford pass complete short right to Theo Riddick for 7 yards (tackle by Telvin Smith),2.280,3.640
4,2:18,1,10,JAX 29,19,23,Dwayne Washington left tackle for -1 yards (tackle by Jonathan Cyprien),3.640,2.970
4,2:00,2,11,JAX 30,19,23,Dwayne Washington right end for -1 yards (tackle by Myles Jack),2.970,0.000
4,1:13,,,,19,23,Timeout #1 by Detroit Lions,0.000,-2.150
4,1:13,3,12,JAX 31,19,23,Theo Riddick middle for 6 yards (tackle by Jonathan Cyprien and Myles Jack),2.150,0.000
4,0:26,,,,19,23,Timeout #2 by Detroit Lions,0.000,-1.830
4,0:26,4,6,JAX 25,19,26,Matt Prater 43 yard field goal good. Penalty on Jalen Ramsey: Illegal Formation (Declined),1.830,3.000
4,0:22,,,DET 35,19,26,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
4,0:22,1,10,JAX 25,19,26,Blake Bortles pass incomplete deep right intended for Marqise Lee,0.610,0.060
4,0:16,2,10,JAX 25,19,26,Blake Bortles pass incomplete deep left intended for Allen Robinson,0.060,-0.620
4,0:08,3,10,JAX 25,19,26,Blake Bortles pass incomplete short middle intended for Marqise Lee is intercepted by Tavon Wilson at JAX-40 and returned for 5 yards,-0.620,-3.250
4,0:02,1,10,JAX 35,19,26,Matthew Stafford kneels for -1 yards,3.250,2.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
