Quarter,Time,Tm,Detail,WAS,DAL
1.0,8:37,Redskins,Laveranues Coles 7 yard pass from Patrick Ramsey (John Hall kick failed),6,0
2.0,7:06,Cowboys,Troy Hambrick 2 yard rush (Billy Cundiff kick),6,7
3.0,6:45,Cowboys,Troy Hambrick 1 yard rush (Billy Cundiff kick),6,14
4.0,11:21,Cowboys,Terry Glenn 19 yard pass from Quincy Carter (Billy Cundiff kick),6,21
,2:30,Redskins,Taylor Jacobs 19 yard pass from Patrick Ramsey (Darnerien McCants pass from Patrick Ramsey),14,21
