Unnamed: 0,NYG,PHI
First Downs,26,17
Rush-Yds-TDs,45-219-2,21-106-1
Cmp-Att-Yd-TD-INT,17-31-191-2-1,17-36-194-3-1
Sacked-Yards,1-9,0-0
Net Pass Yards,182,194
Total Yards,401,300
Fumbles-Lost,3-1,1-1
Turnovers,2,2
Penalties-Yards,4-30,5-45
Third Down Conv.,7-15,3-11
Fourth Down Conv.,1-1,1-2
Time of Possession,39:10,20:50
