Unnamed: 0,NYG,DAL
First Downs,21,22
Rush-Yds-TDs,14-50-0,23-87-0
Cmp-Att-Yd-TD-INT,27-42-450-4-3,36-49-263-2-1
Sacked-Yards,3-22,2-19
Net Pass Yards,428,244
Total Yards,478,331
Fumbles-Lost,3-3,2-0
Turnovers,6,1
Penalties-Yards,6-52,5-40
Third Down Conv.,6-11,5-15
Fourth Down Conv.,0-0,0-0
Time of Possession,22:50,37:10
