Quarter,Time,Tm,Detail,NYG,DAL
1.0,13:04,Cowboys,Dan Bailey 30 yard field goal,0,3
,2:02,Giants,Josh Brown 20 yard field goal,3,3
2.0,10:02,Cowboys,Dan Bailey 38 yard field goal,3,6
,2:55,Cowboys,Jason Witten 15 yard pass from Tony Romo (Dan Bailey kick),3,13
,1:50,Giants,Victor Cruz 70 yard pass from Eli Manning (Josh Brown kick),10,13
3.0,12:31,Cowboys,Barry Church 27 yard defensive fumble return (Dan Bailey kick),10,20
,4:55,Cowboys,Jason Witten 4 yard pass from Tony Romo (Dan Bailey kick),10,27
,1:44,Giants,Victor Cruz 18 yard pass from Eli Manning (Josh Brown kick),17,27
4.0,12:10,Cowboys,Dan Bailey 45 yard field goal,17,30
,8:47,Giants,Victor Cruz 10 yard pass from Eli Manning (Josh Brown kick),24,30
,1:50,Cowboys,Brandon Carr 49 yard interception return (pass failed),24,36
,0:11,Giants,Brandon Myers 4 yard pass from Eli Manning (Josh Brown kick),31,36
