Unnamed: 0,DET,MIN
First Downs,18,22
Rush-Yds-TDs,22-70-0,39-120-1
Cmp-Att-Yd-TD-INT,24-40-205-1-2,24-30-242-1-0
Sacked-Yards,5-44,1-8
Net Pass Yards,161,234
Total Yards,231,354
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,4-28,8-55
Third Down Conv.,7-16,5-14
Fourth Down Conv.,1-1,0-1
Time of Possession,26:17,33:43
