Unnamed: 0,CIN,ARI
First Downs,24,21
Rush-Yds-TDs,28-99-2,25-82-0
Cmp-Att-Yd-TD-INT,22-39-315-2-0,20-31-317-4-2
Sacked-Yards,4-37,2-16
Net Pass Yards,278,301
Total Yards,377,383
Fumbles-Lost,3-1,2-0
Turnovers,1,2
Penalties-Yards,10-108,7-40
Third Down Conv.,5-13,5-11
Fourth Down Conv.,1-1,0-0
Time of Possession,31:15,28:45
