Quarter,Time,Down,ToGo,Location,CIN,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,ARI 20,0,0,Carson Palmer pass complete short left to Larry Fitzgerald for 12 yards (tackle by A.J. Hawk),0.280,1.070
1,14:18,1,10,ARI 32,0,0,Carson Palmer pass incomplete short left intended for Larry Fitzgerald,1.070,0.530
1,14:12,2,10,ARI 32,0,0,Carson Palmer pass complete short left to Larry Fitzgerald for 10 yards (tackle by Emmanuel Lamur),0.530,1.730
1,13:33,1,10,ARI 42,0,0,Chris Johnson right tackle for 3 yards (tackle by George Iloka),1.730,1.590
1,12:54,2,7,ARI 45,0,0,Chris Johnson right tackle for 9 yards (tackle by Vontaze Burfict),1.590,2.520
1,12:13,1,10,CIN 46,0,0,Chris Johnson left tackle for no gain (tackle by Geno Atkins),2.520,1.980
1,11:35,2,10,CIN 46,0,0,Carson Palmer sacked by Geno Atkins for -10 yards,1.980,-0.030
1,10:53,3,20,ARI 44,0,0,Carson Palmer pass incomplete deep left intended for Larry Fitzgerald is intercepted by Leon Hall at CIN-35,-0.030,-1.270
1,10:45,1,10,CIN 35,0,0,"Andy Dalton middle for 3 yards (tackle by Frostee Rucker). Penalty on Patrick Peterson: Defensive Holding, 5 yards",1.270,1.800
1,10:21,1,10,CIN 43,0,0,Jeremy Hill middle for 8 yards (tackle by Rashad Johnson),1.800,2.330
1,9:44,2,2,ARI 49,0,0,Jeremy Hill right tackle for 2 yards (tackle by Calais Campbell and Kevin Minter),2.330,2.460
1,9:05,1,10,ARI 47,0,0,Andy Dalton pass incomplete short right intended for A.J. Green,2.460,1.910
1,9:00,2,10,ARI 47,0,0,"Jeremy Hill right tackle for 2 yards (tackle by Kevin Minter and Frostee Rucker). Penalty on Jeremy Hill: Taunting, 15 yards",1.910,-0.490
1,8:36,3,23,CIN 40,0,0,Giovani Bernard middle for 2 yards (tackle by Deone Bucannon),-0.490,-0.590
1,8:07,4,21,CIN 42,0,0,"Kevin Huber punts 37 yards, fair catch by Patrick Peterson",-0.590,-0.340
1,7:59,1,10,ARI 21,0,0,Chris Johnson left tackle for 7 yards (tackle by Vontaze Burfict and Rey Maualuga),0.340,0.750
1,7:19,2,3,ARI 28,0,0,Andre Ellington middle for 2 yards (tackle by Michael Johnson),0.750,0.300
1,6:34,3,1,ARI 30,0,0,David Johnson middle for no gain (tackle by Geno Atkins),0.300,-1.370
1,5:57,4,1,ARI 30,0,0,"Drew Butler punts 54 yards, returned by Brandon Tate for 41 yards (tackle by Kareem Martin). Penalty on Dre Kirkpatrick: Illegal Block Above the Waist, 8 yards",-1.370,0.380
1,5:42,1,10,CIN 8,0,0,Giovani Bernard middle for 3 yards (tackle by Kevin Minter),-0.380,-0.560
1,5:03,2,7,CIN 11,0,0,Andy Dalton pass complete short left to Giovani Bernard for 6 yards (tackle by Jerraud Powers),-0.560,-0.370
1,4:24,3,1,CIN 17,0,0,Giovani Bernard middle for -1 yards (tackle by Frostee Rucker),-0.370,-2.390
1,3:52,4,2,CIN 16,0,0,"Kevin Huber punts 47 yards, fair catch by Patrick Peterson",-2.390,-1.400
1,3:46,1,10,ARI 37,0,0,Carson Palmer pass incomplete deep middle intended for JJ Nelson is intercepted by Reggie Nelson at CIN-13 and returned for 23 yards. Penalty on JJ Nelson: Illegal Formation (Declined),1.400,-1.330
1,3:30,1,10,CIN 36,0,0,Andy Dalton pass complete deep left to A.J. Green for 42 yards (tackle by Jerraud Powers),1.330,4.110
1,2:58,1,10,ARI 22,0,0,Giovani Bernard middle for 2 yards (tackle by Tyrann Mathieu),4.110,3.830
1,2:22,2,8,ARI 20,0,0,Andy Dalton pass complete short left to Giovani Bernard for 11 yards (tackle by Tyrann Mathieu),3.830,5.140
1,1:50,1,9,ARI 9,0,0,"Mohamed Sanu middle for 2 yards. Penalty on Andre Smith: Offensive Holding, 10 yards",5.140,4.260
1,1:44,1,17,ARI 17,0,0,Andy Dalton right end for 2 yards (tackle by Frostee Rucker),4.260,3.460
1,1:09,2,15,ARI 15,0,0,Andy Dalton pass complete short middle to Giovani Bernard for 12 yards (tackle by Deone Bucannon),3.460,4.720
1,0:26,3,3,ARI 3,6,0,"Andy Dalton pass complete short right to Tyler Eifert for 3 yards, touchdown",4.720,7.000
1,0:26,,,ARI 3,7,0,Mike Nugent kicks extra point good,0.000,0.000
1,0:26,,,CIN 35,7,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,0:22,1,10,ARI 20,7,0,Chris Johnson middle for no gain (tackle by Michael Johnson),0.280,-0.270
Quarter,Time,Down,ToGo,Location,CIN,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
