Quarter,Time,Tm,Detail,SEA,GNB
1.0,8:44,Packers,Ryan Longwell 26 yard field goal,0,3
,3:05,Packers,Ryan Longwell 32 yard field goal,0,6
2.0,13:00,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),7,6
,8:22,Packers,Noah Herron 11 yard rush (Ryan Longwell kick),7,13
3.0,10:32,Seahawks,Joe Jurevicius 5 yard pass from Seneca Wallace (Josh Brown kick),14,13
,3:41,Packers,Antonio Chatman 9 yard pass from Brett Favre (Ryan Longwell kick),14,20
4.0,10:56,Packers,Ryan Longwell 28 yard field goal,14,23
,1:38,Seahawks,Josh Brown 44 yard field goal,17,23
