Unnamed: 0,SEA,GNB
First Downs,17,21
Rush-Yds-TDs,30-98-1,33-68-1
Cmp-Att-Yd-TD-INT,15-25-174-1-1,21-37-259-1-1
Sacked-Yards,4-27,3-13
Net Pass Yards,147,246
Total Yards,245,314
Fumbles-Lost,2-1,2-2
Turnovers,2,3
Penalties-Yards,5-58,7-50
Third Down Conv.,5-13,11-20
Fourth Down Conv.,0-1,0-0
Time of Possession,24:47,35:13
