Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
1,8:55,,,GNB 30,0,3,"Ryan Longwell kicks off 60 yards, returned by Steve Smith for 16 yards (tackle by Darrien Gordon)",0.000,0.670
1,8:47,1,10,CAR 26,0,3,Lamar Smith middle for 4 yards (tackle by Aaron Kampman and Hardy Nickerson),0.670,0.670
1,8:06,2,6,CAR 30,0,3,"Rodney Peete pass complete to Steve Smith for 5 yards (tackle by Hardy Nickerson). Penalty on Chris Terry: Illegal Motion, 5 yards (no play)",0.670,-0.010
1,7:36,2,11,CAR 25,0,3,Lamar Smith right tackle for 18 yards (tackle by Nate Wayne),-0.010,1.800
1,6:57,1,10,CAR 43,0,3,Lamar Smith right guard for 1 yard (tackle by Na'il Diggs and Joe Johnson),1.800,1.390
1,6:15,2,9,CAR 44,0,3,Rodney Peete pass incomplete intended for Karl Hankton,1.390,0.690
1,6:08,3,9,CAR 44,0,3,Rodney Peete pass incomplete intended for Steve Smith (defended by Mike McKenzie),0.690,-0.460
1,6:04,4,9,CAR 44,0,3,"Todd Sauerbrun punts 35 yards, returned by Darrien Gordon for 27 yards (tackle by Todd Sauerbrun)",-0.460,-2.130
1,5:52,1,10,GNB 48,0,3,Brett Favre pass incomplete intended for Ahman Green,2.130,1.580
1,5:48,2,10,GNB 48,0,3,Brett Favre sacked by Kris Jenkins for -5 yards,1.580,0.230
1,5:29,3,15,GNB 43,0,3,Brett Favre for no gain. Mike Flanagan fumbles,0.230,-0.520
1,5:23,4,15,GNB 43,0,3,"Josh Bidwell punts 51 yards, returned by Steve Smith for 11 yards (tackle by Matt Bowen)",-0.520,0.060
1,5:13,1,10,CAR 17,0,3,Lamar Smith right end for -7 yards (tackle by Na'il Diggs),-0.060,-1.290
1,4:32,2,17,CAR 10,0,3,Rodney Peete pass complete to Kris Mangum for 6 yards (tackle by Mike McKenzie),-1.290,-1.410
1,3:53,3,11,CAR 16,0,3,Rodney Peete pass complete to Steve Smith for 13 yards (tackle by Hardy Nickerson),-1.410,0.870
1,3:11,1,10,CAR 29,0,3,Lamar Smith right end for -1 yards (tackle by Aaron Kampman and Nate Wayne),0.870,0.190
