Quarter,Time,Tm,Detail,CAR,GNB
1.0,8:52,Packers,Ryan Longwell 30 yard field goal,0,3
,0:23,Panthers,Lamar Smith 3 yard rush (Shayne Graham kick),7,3
2.0,1:43,Packers,Donald Driver 31 yard pass from Bubba Franks (Ryan Longwell kick),7,10
4.0,12:55,Panthers,Lamar Smith 2 yard rush (Shayne Graham kick),14,10
,4:10,Packers,Donald Driver 22 yard pass from Brett Favre (Ryan Longwell kick),14,17
